variant,depth,positions,mean_regret_cp,median_regret_cp,teacher_best_agreement,top3_teacher_agreement,mean_latency_s,paired_regret_improvement_cp,paired_agreement_change
original,1,140,581.3857142857142,465.0,0.05714285714285714,0.09285714285714286,1.6350551471455088,,
original,2,140,570.5071428571429,435.5,0.07142857142857142,0.2,3.288773303570425,10.878571428571428,-0.014285714285714285
original,4,140,1310.7928571428572,515.0,0.04285714285714286,0.12857142857142856,6.5247380249992215,-729.4071428571428,0.014285714285714285
original,8,140,1295.7357142857143,472.5,0.04285714285714286,0.07142857142857142,12.761399582143973,-714.35,0.014285714285714285
original,16,140,1328.4928571428572,569.5,0.03571428571428571,0.07857142857142857,25.15930668357011,-747.1071428571429,0.02142857142857143
original,32,140,1400.857142857143,655.5,0.03571428571428571,0.06428571428571428,50.270799475004395,-819.4714285714285,0.02142857142857143
original,64,140,1426.5285714285715,696.0,0.03571428571428571,0.09285714285714286,99.8732702528534,-845.1428571428571,0.02142857142857143
degree_preserving_topology_shuffle,1,140,581.3857142857142,465.0,0.05714285714285714,0.09285714285714286,1.6895931328572,,
degree_preserving_topology_shuffle,2,140,657.1285714285714,561.0,0.02857142857142857,0.10714285714285714,3.375005635711464,-75.74285714285715,0.02857142857142857
degree_preserving_topology_shuffle,4,140,663.25,561.0,0.007142857142857143,0.10714285714285714,6.68679117570864,-81.86428571428571,0.05
degree_preserving_topology_shuffle,8,140,524.4714285714285,403.0,0.15714285714285714,0.39285714285714285,13.16549185285195,56.91428571428571,-0.1
degree_preserving_topology_shuffle,16,140,629.5642857142857,540.5,0.03571428571428571,0.1357142857142857,26.152643268566212,-48.17857142857143,0.02142857142857143
degree_preserving_topology_shuffle,32,140,647.85,561.0,0.04285714285714286,0.15,51.66743895571147,-66.46428571428571,0.014285714285714285
degree_preserving_topology_shuffle,64,140,647.85,561.0,0.04285714285714286,0.15,103.38798018499594,-66.46428571428571,0.014285714285714285
transmitter_sign_shuffle,1,140,581.3857142857142,465.0,0.05714285714285714,0.09285714285714286,1.54599782357774,,
transmitter_sign_shuffle,2,140,598.2357142857143,459.5,0.05,0.2,3.1325380314282874,-16.85,0.007142857142857143
transmitter_sign_shuffle,4,140,619.0,515.5,0.03571428571428571,0.12857142857142856,6.242271549287917,-37.614285714285714,0.02142857142857143
transmitter_sign_shuffle,8,140,618.55,515.5,0.03571428571428571,0.1357142857142857,12.494855720004333,-37.16428571428571,0.02142857142857143
transmitter_sign_shuffle,16,140,618.55,515.5,0.03571428571428571,0.1357142857142857,24.732369307145877,-37.16428571428571,0.02142857142857143
transmitter_sign_shuffle,32,140,618.55,515.5,0.03571428571428571,0.1357142857142857,49.181221585001495,-37.16428571428571,0.02142857142857143
transmitter_sign_shuffle,64,140,618.55,515.5,0.03571428571428571,0.1357142857142857,97.7916962492895,-37.16428571428571,0.02142857142857143
recurrent_edges_attenuated_0.05,1,140,581.3857142857142,465.0,0.05714285714285714,0.09285714285714286,1.6739584278548136,,
recurrent_edges_attenuated_0.05,2,140,570.5071428571429,435.5,0.07142857142857142,0.20714285714285716,3.349812262141911,10.878571428571428,-0.014285714285714285
recurrent_edges_attenuated_0.05,4,140,590.8428571428572,507.0,0.06428571428571428,0.19285714285714287,6.538440616427189,-9.457142857142857,-0.007142857142857143
recurrent_edges_attenuated_0.05,8,140,592.7071428571429,514.0,0.06428571428571428,0.19285714285714287,12.887216426426312,-11.321428571428571,-0.007142857142857143
recurrent_edges_attenuated_0.05,16,140,592.7071428571429,514.0,0.06428571428571428,0.19285714285714287,25.48652311285176,-11.321428571428571,-0.007142857142857143
recurrent_edges_attenuated_0.05,32,140,592.7071428571429,514.0,0.06428571428571428,0.19285714285714287,50.912845783565096,-11.321428571428571,-0.007142857142857143
recurrent_edges_attenuated_0.05,64,140,592.7071428571429,514.0,0.06428571428571428,0.19285714285714287,101.89749367999694,-11.321428571428571,-0.007142857142857143
