epoch,loss,validation_loss,train_pair_accuracy,validation_pair_accuracy,train_top1_accuracy,validation_top1_accuracy
1,0.6930341416275395,0.6931601065793012,0.8700980392156863,0.4605263157894737,0.15384615384615385,0.3333333333333333
2,0.6929596979953168,0.6931809774773843,0.8921568627450981,0.4605263157894737,0.15384615384615385,0.3333333333333333
3,0.6929042273065807,0.6932009079146201,0.8872549019607843,0.4605263157894737,0.15384615384615385,0.3333333333333333
4,0.6928588083572006,0.6932202953644026,0.8897058823529411,0.4473684210526316,0.23076923076923078,0.3333333333333333
5,0.6928196738045934,0.6932501691855649,0.8921568627450981,0.4605263157894737,0.23076923076923078,0.3333333333333333
6,0.6927842999675966,0.6932849244373058,0.8897058823529411,0.4473684210526316,0.23076923076923078,0.3333333333333333
7,0.6927525799573409,0.6933145333269446,0.8872549019607843,0.4342105263157895,0.23076923076923078,0.0
8,0.6927243350745321,0.6933331684434351,0.8872549019607843,0.4342105263157895,0.23076923076923078,0.0
9,0.6926999690899432,0.6933532500789795,0.8823529411764706,0.4342105263157895,0.23076923076923078,0.0
10,0.692678953048482,0.6933739363864392,0.8799019607843137,0.4605263157894737,0.23076923076923078,0.0
11,0.692660118159013,0.693395809338547,0.8725490196078431,0.4605263157894737,0.23076923076923078,0.0
12,0.6926433133674853,0.693417602728379,0.8676470588235294,0.4605263157894737,0.23076923076923078,0.0
13,0.6926283189089217,0.6934434255230635,0.8602941176470589,0.4605263157894737,0.23076923076923078,0.0
14,0.6926149047770509,0.6934714726724933,0.8602941176470589,0.4473684210526316,0.23076923076923078,0.0
15,0.6926027865041233,0.6935078401812423,0.8602941176470589,0.4473684210526316,0.23076923076923078,0.0
16,0.692592101325717,0.6935384749462673,0.8553921568627451,0.4473684210526316,0.23076923076923078,0.0
17,0.692582680238782,0.6935649788927474,0.8553921568627451,0.4473684210526316,0.23076923076923078,0.0
18,0.6925744322941066,0.6935842195382611,0.8529411764705882,0.4605263157894737,0.23076923076923078,0.0
19,0.6925671193814871,0.693602010692272,0.8529411764705882,0.4605263157894737,0.23076923076923078,0.0
20,0.6925604945305341,0.6936233849438891,0.8504901960784313,0.4473684210526316,0.23076923076923078,0.0
21,0.6925544693287937,0.6936362886086362,0.8578431372549019,0.4342105263157895,0.23076923076923078,0.0
22,0.6925492964277677,0.6936499896207503,0.8651960784313726,0.4605263157894737,0.23076923076923078,0.0
23,0.6925445813547015,0.6936585745497986,0.8700980392156863,0.4473684210526316,0.23076923076923078,0.0
24,0.6925402944291585,0.6936678158010009,0.8700980392156863,0.42105263157894735,0.23076923076923078,0.0
25,0.6925364623737361,0.6936794911315747,0.875,0.42105263157894735,0.23076923076923078,0.0
26,0.69253297702169,0.6936860095715605,0.8774509803921569,0.42105263157894735,0.23076923076923078,0.0
27,0.6925300711131485,0.693699696506976,0.8774509803921569,0.40789473684210525,0.23076923076923078,0.0
28,0.6925273975949272,0.6937149612903726,0.8774509803921569,0.40789473684210525,0.23076923076923078,0.0
29,0.6925248482523092,0.6937305245730218,0.8774509803921569,0.42105263157894735,0.23076923076923078,0.0
30,0.6925225705265343,0.6937406872951254,0.875,0.42105263157894735,0.23076923076923078,0.0
31,0.6925204734597955,0.6937397855915519,0.8725490196078431,0.42105263157894735,0.15384615384615385,0.0
32,0.6925186931995394,0.6937436246248152,0.8725490196078431,0.42105263157894735,0.15384615384615385,0.0
33,0.6925171165672966,0.693749738130289,0.8725490196078431,0.42105263157894735,0.15384615384615385,0.0
34,0.6925156585573355,0.6937518347439885,0.8700980392156863,0.42105263157894735,0.15384615384615385,0.0
35,0.6925141907595991,0.6937599766897672,0.8700980392156863,0.42105263157894735,0.15384615384615385,0.0
36,0.6925130316849201,0.6937673189383183,0.8725490196078431,0.42105263157894735,0.15384615384615385,0.0
37,0.6925118839096617,0.6937696045598787,0.8725490196078431,0.42105263157894735,0.15384615384615385,0.0
38,0.6925109375574856,0.693765889278127,0.8725490196078431,0.42105263157894735,0.15384615384615385,0.0
39,0.6925102281779651,0.6937629673410131,0.875,0.42105263157894735,0.15384615384615385,0.0
40,0.6925095005528586,0.6937641529777849,0.8700980392156863,0.42105263157894735,0.15384615384615385,0.0
41,0.6925088138712745,0.6937678526472134,0.8676470588235294,0.42105263157894735,0.15384615384615385,0.0
42,0.6925083682806114,0.6937795361933192,0.8651960784313726,0.42105263157894735,0.15384615384615385,0.0
43,0.6925080266666663,0.6937944802241094,0.8651960784313726,0.42105263157894735,0.15384615384615385,0.0
44,0.6925075762737141,0.6938020507183232,0.8627450980392157,0.42105263157894735,0.15384615384615385,0.0
45,0.6925070928431523,0.6938078019600142,0.8578431372549019,0.42105263157894735,0.15384615384615385,0.0
46,0.6925066883568769,0.6938117721590583,0.8578431372549019,0.40789473684210525,0.15384615384615385,0.0
47,0.6925065413789346,0.6938106223634314,0.8553921568627451,0.40789473684210525,0.15384615384615385,0.0
48,0.6925063583812064,0.6938142561815109,0.8529411764705882,0.40789473684210525,0.15384615384615385,0.0
49,0.6925061784643208,0.6938191272618678,0.8529411764705882,0.4342105263157895,0.15384615384615385,0.0
50,0.6925059761573145,0.6938288237194545,0.8602941176470589,0.4342105263157895,0.15384615384615385,0.0
51,0.6925060336031464,0.6938394586873708,0.8578431372549019,0.4342105263157895,0.15384615384615385,0.0
52,0.6925060396864742,0.693846591828422,0.8602941176470589,0.4342105263157895,0.23076923076923078,0.0
53,0.6925058266390909,0.6938432118011804,0.8602941176470589,0.4342105263157895,0.23076923076923078,0.0
54,0.6925057564919468,0.6938452359395904,0.8578431372549019,0.4342105263157895,0.23076923076923078,0.0
55,0.6925059163922588,0.6938520943746941,0.8529411764705882,0.4342105263157895,0.23076923076923078,0.0
56,0.6925058654023456,0.6938539865603188,0.8602941176470589,0.4342105263157895,0.23076923076923078,0.0
57,0.6925057322560653,0.6938569691900113,0.8651960784313726,0.40789473684210525,0.23076923076923078,0.0
58,0.6925056185355876,0.6938541601000371,0.8602941176470589,0.42105263157894735,0.15384615384615385,0.0
59,0.6925055746282195,0.6938481659763963,0.8651960784313726,0.42105263157894735,0.15384615384615385,0.0
60,0.6925055212793836,0.6938455438245893,0.8651960784313726,0.4473684210526316,0.15384615384615385,0.0
61,0.6925054173642774,0.693846467229423,0.8651960784313726,0.4473684210526316,0.15384615384615385,0.0
62,0.6925053249535319,0.6938474900515649,0.8651960784313726,0.4473684210526316,0.15384615384615385,0.0
63,0.6925053722660718,0.6938456729655603,0.8602941176470589,0.4473684210526316,0.15384615384615385,0.0
64,0.6925053202088644,0.6938416467705463,0.8627450980392157,0.4473684210526316,0.15384615384615385,0.0
