step,epoch,loss,validation_loss,teacher_agreement,candidate_accuracy,elo,elo_ci_low,elo_ci_high,recurrent_depth,learning_rate,checkpoint
1,1,0.6930341416275395,0.6931601065793012,0.3333333333333333,0.4605263157894737,,,,16,0.03,
2,2,0.6929596979953168,0.6931809774773843,0.3333333333333333,0.4605263157894737,,,,16,0.03,
3,3,0.6929042273065807,0.6932009079146201,0.3333333333333333,0.4605263157894737,,,,16,0.03,
4,4,0.6928588083572006,0.6932202953644026,0.3333333333333333,0.4473684210526316,,,,16,0.03,
5,5,0.6928196738045934,0.6932501691855649,0.3333333333333333,0.4605263157894737,,,,16,0.03,
6,6,0.6927842999675966,0.6932849244373058,0.3333333333333333,0.4473684210526316,,,,16,0.03,
7,7,0.6927525799573409,0.6933145333269446,0.0,0.4342105263157895,,,,16,0.03,
8,8,0.6927243350745321,0.6933331684434351,0.0,0.4342105263157895,,,,16,0.03,
9,9,0.6926999690899432,0.6933532500789795,0.0,0.4342105263157895,,,,16,0.03,
10,10,0.692678953048482,0.6933739363864392,0.0,0.4605263157894737,,,,16,0.03,
11,11,0.692660118159013,0.693395809338547,0.0,0.4605263157894737,,,,16,0.03,
12,12,0.6926433133674853,0.693417602728379,0.0,0.4605263157894737,,,,16,0.03,
13,13,0.6926283189089217,0.6934434255230635,0.0,0.4605263157894737,,,,16,0.03,
14,14,0.6926149047770509,0.6934714726724933,0.0,0.4473684210526316,,,,16,0.03,
15,15,0.6926027865041233,0.6935078401812423,0.0,0.4473684210526316,,,,16,0.03,
16,16,0.692592101325717,0.6935384749462673,0.0,0.4473684210526316,,,,16,0.03,
17,17,0.692582680238782,0.6935649788927474,0.0,0.4473684210526316,,,,16,0.03,
18,18,0.6925744322941066,0.6935842195382611,0.0,0.4605263157894737,,,,16,0.03,
19,19,0.6925671193814871,0.693602010692272,0.0,0.4605263157894737,,,,16,0.03,
20,20,0.6925604945305341,0.6936233849438891,0.0,0.4473684210526316,,,,16,0.03,
21,21,0.6925544693287937,0.6936362886086362,0.0,0.4342105263157895,,,,16,0.03,
22,22,0.6925492964277677,0.6936499896207503,0.0,0.4605263157894737,,,,16,0.03,
