step,stage,position_id,selected_move,cp_best,cp_move,regret_cp,raw_signal,running_signal_mean,centered_advantage,applied_advantage,mate_flag,mate_distance,selected_is_teacher_best,control,pass_kind,eligibility_mean_abs,rms_log_ratio,elapsed_s
33,movement,movement_0033,b4a1,100.0,-100.0,200.0,0.07576568547998053,0.25380834915391454,-0.18741333018308842,-0.18741333018308842,1,,0,frozen,curriculum,,0.0,851.219533400028
34,movement,movement_0034,g3a1,100.0,-100.0,200.0,0.07576568547998053,0.2449062159702178,-0.178042663673934,-0.178042663673934,1,,0,frozen,curriculum,,0.0,853.5969894999871
35,movement,movement_0035,c7a1,100.0,-100.0,200.0,0.07576568547998053,0.23644918944570592,-0.16914053049023728,-0.16914053049023728,1,,0,frozen,curriculum,,0.0,855.674826100003
36,movement,movement_0036,f2a1,100.0,-100.0,200.0,0.07576568547998053,0.22841501424741964,-0.1606835039657254,-0.1606835039657254,1,,0,frozen,curriculum,,0.0,857.0991646000184
37,movement,movement_0037,d5a1,100.0,-100.0,200.0,0.07576568547998053,0.22078254780904766,-0.1526493287674391,-0.1526493287674391,1,,0,frozen,curriculum,,0.0,859.3301298000151
38,movement,movement_0038,d8a1,100.0,-100.0,200.0,0.07576568547998053,0.21353170469259428,-0.14501686232906713,-0.14501686232906713,1,,0,frozen,curriculum,,0.0,861.6036843999755
39,movement,movement_0039,f3a1,100.0,-100.0,200.0,0.07576568547998053,0.20664340373196358,-0.13776601921261375,-0.13776601921261375,1,,0,frozen,curriculum,,0.0,863.9515294999583
40,movement,movement_0040,b3a1,100.0,-100.0,200.0,0.07576568547998053,0.20009951781936441,-0.13087771825198305,-0.13087771825198305,1,,0,frozen,curriculum,,0.0,866.0089013000252
41,movement,movement_0041,g1f2,100.0,100.0,0.0,1.0,0.2400945419283962,0.7999004821806356,0.7999004821806356,1,,1,frozen,curriculum,,0.0,868.2546995999292
42,movement,movement_0042,a5a1,100.0,-100.0,200.0,0.07576568547998053,0.2318780991059754,-0.16432885644841566,-0.16432885644841566,1,,0,frozen,curriculum,,0.0,870.2692282999633
43,movement,movement_0043,b3a1,100.0,100.0,0.0,1.0,0.2702841941506766,0.7681219008940245,0.7681219008940245,1,,1,frozen,curriculum,,0.0,873.2333514000056
44,movement,movement_0044,e2a1,100.0,-100.0,200.0,0.07576568547998053,0.26055826871714177,-0.1945185086706961,-0.1945185086706961,1,,0,frozen,curriculum,,0.0,875.6562371000182
45,movement,movement_0045,d4a1,100.0,-100.0,200.0,0.07576568547998053,0.2513186395552837,-0.18479258323716125,-0.18479258323716125,1,,0,frozen,curriculum,,0.0,877.8834663999733
46,movement,movement_0046,e2a1,100.0,-100.0,200.0,0.07576568547998053,0.24254099185151853,-0.1755529540753032,-0.1755529540753032,1,,0,frozen,curriculum,,0.0,880.0262929999735
47,movement,movement_0047,f3f2,100.0,100.0,0.0,1.0,0.2804139422589426,0.7574590081484814,0.7574590081484814,1,,1,frozen,curriculum,,0.0,882.1153144999407
