position_id,fen,move_uci,teacher_cp,teacher_target,is_best
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,a8a5,-116.0,-0.2821348126696341,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,f7e8,-117.0,-0.28443418591487535,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,d7b8,-131.0,-0.31627263009603623,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,d7c5,-152.0,-0.3627074675780511,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,h7h5,-185.0,-0.4321195876314196,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,e7e6,-206.0,-0.4738317916668405,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,e7e5,-210.0,-0.481549798364308,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,a8a4,-213.0,-0.4872897835125242,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,a8a6,-218.0,-0.49676344321412846,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,b7b6,-219.0,-0.49864416881035956,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,d8e8,-228.0,-0.5153592780074097,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,h7h6,-238.0,-0.5334821284570855,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,d5c3,-268.0,-0.5849798828807288,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,a8b8,-311.0,-0.6512694287651738,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,a8a3,-557.0,-0.883719698991578,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,a8a7,-624.0,-0.9154204563159324,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,d5e3,-726.0,-0.9483375229506719,0
2,r1bq1br1/1ppnpkpp/3p1p2/1N1n1P2/1p4P1/1RPP3N/P3P2P/2BQKBR1 b - - 0 13,d5f4,-802.0,-0.9643791367189491,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,h6g4,91.0,0.22365473800347424,1
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,a5f5,56.0,0.13909244787845804,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,e7e5,52.0,0.12927258360605834,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,f8g7,50.0,0.12435300177159621,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,b8d7,46.0,0.11449570919711116,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,f7f5,46.0,0.11449570919711116,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,c8f5,44.0,0.10955847021442953,0
