position_id,source_game_id,phase,ply,fen,side_to_move,move_uci,teacher_cp,teacher_target,is_best,legal_move_count
opening_000_offset_00,opening_000,early,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,e4b7,-831.0,-0.9691129062420462,0,36
opening_000_offset_00,opening_000,early,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,e1e2,-859.0,-0.9730937654026277,0,36
opening_000_offset_00,opening_000,early,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,e1f1,-865.0,-0.973878578941094,0,36
opening_000_offset_00,opening_000,early,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,e4g6,-873.0,-0.974889955210435,0,36
opening_000_offset_00,opening_000,early,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,d1h5,-899.0,-0.9779171863314579,0,36
opening_000_offset_00,opening_000,early,8,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,white,d1g4,-907.0,-0.9787738762076721,0,36
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,e4b7,374.0,0.732916554933575,1,35
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,c2c4,174.0,0.4094913959961821,0,35
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,e4f3,21.0,0.05245181874413747,0,35
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,b1c3,17.0,0.04247442993254818,0,35
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,f1e1,2.0,0.004999958333749996,0,35
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,b1d2,-4.0,-0.00999966667999946,0,35
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,g2g3,-33.0,-0.08231333630045613,0,35
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,f2f4,-58.0,-0.14399226586303726,0,35
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,b2b3,-59.0,-0.14643954535966971,0,35
opening_000_offset_04,opening_000,early,12,rn1qkbnr/1bpppppp/1p6/p7/P3B3/3PP3/1PP2PPP/RNBQ1KNR w kq - 1 7,white,h2h4,-62.0,-0.15377052226409266,0,35
