depth,variant,teacher_agreement,teacher_agreement_ci_low,teacher_agreement_ci_high,quality_loss_cp,stockfish_eval_loss_cp,latency_s,recurrent_passes,score_margin,rating,rating_ci_low,rating_ci_high,games
1,original,0.0,0.0,0.0,756.5,685.125,1.1235586749971844,30.625,0.0,445.06389937333824,78.58035498354116,811.5474437631353,4
2,original,0.125,0.0,0.375,345.375,446.625,2.27874987499672,61.25,0.0013532991069951095,445.06389937333824,78.58035498354116,811.5474437631353,4
4,original,0.125,0.0,0.375,354.875,453.0,4.6650001624948345,122.5,0.0024060917203314602,445.06389937333824,78.58035498354116,811.5474437631353,4
8,original,0.125,0.0,0.375,316.375,463.0,9.051181199982238,245.0,0.0023112516428227536,445.06389937333824,78.58035498354116,811.5474437631353,4
16,original,0.125,0.0,0.375,316.375,463.0,16.671578699999372,490.0,0.0020351461425889283,445.06389937333824,78.58035498354116,811.5474437631353,4
32,original,0.125,0.0,0.375,493.0,545.375,33.20132045000355,980.0,0.001764042281138245,445.06389937333824,78.58035498354116,811.5474437631353,4
64,original,0.125,0.0,0.375,519.875,520.5,69.97813002499606,1960.0,0.001768524234648794,445.06389937333824,78.58035498354116,811.5474437631353,4
