epoch,loss,validation_loss,train_pair_accuracy,validation_pair_accuracy,train_top1_accuracy,validation_top1_accuracy
1,0.6931475126594547,0.6931473817301566,0.2131979695431472,0.8208955223880597,0.047619047619047616,0.0
2,0.6931472643603012,0.6931472518694718,0.40439932318104904,0.4626865671641791,0.0,0.0
3,0.6931473651522665,0.6931474865606703,0.5093062605752962,0.2835820895522388,0.09523809523809523,0.0
4,0.6931472471664074,0.6931472194361065,0.36548223350253806,0.6567164179104478,0.047619047619047616,0.0
5,0.6931472561448206,0.6931471965719151,0.29949238578680204,0.6268656716417911,0.0,0.0
6,0.6931472145556326,0.6931472614721249,0.5228426395939086,0.26865671641791045,0.09523809523809523,0.0
7,0.6931472202485234,0.6931472672941147,0.4890016920473773,0.13432835820895522,0.14285714285714285,0.0
8,0.6931472061191764,0.6931471797014733,0.311336717428088,0.746268656716418,0.0,0.0
9,0.6931471956298684,0.6931471819015176,0.45854483925549916,0.6716417910447762,0.0,0.0
10,0.6931471968203964,0.6931472335507723,0.49915397631133673,0.07462686567164178,0.14285714285714285,0.0
11,0.6931471882366529,0.6931472021582611,0.4010152284263959,0.34328358208955223,0.047619047619047616,0.0
12,0.693147189051401,0.6931471750243674,0.3790186125211506,0.6417910447761194,0.0,0.0
13,0.6931471847398274,0.6931471935929269,0.4433164128595601,0.07462686567164178,0.09523809523809523,0.0
14,0.693147183862649,0.6931472058078849,0.49746192893401014,0.14925373134328357,0.09523809523809523,0.0
15,0.6931471822409834,0.6931471837169718,0.467005076142132,0.5970149253731343,0.047619047619047616,0.0
16,0.693147182693226,0.6931471852648131,0.34686971235194586,0.44776119402985076,0.047619047619047616,0.0
17,0.6931471812731687,0.6931471999044627,0.55668358714044,0.19402985074626866,0.09523809523809523,0.0
18,0.693147181238308,0.6931471862789781,0.3942470389170897,0.6119402985074627,0.09523809523809523,0.0
19,0.6931471809606048,0.6931471807248288,0.45346869712351945,0.417910447761194,0.047619047619047616,0.0
