step,epoch,loss,validation_loss,teacher_agreement,candidate_accuracy,elo,elo_ci_low,elo_ci_high,recurrent_depth,learning_rate,checkpoint
1,1,0.6931475126594547,0.6931473817301566,0.0,0.8208955223880597,,,,4,0.03,
2,2,0.6931472643603012,0.6931472518694718,0.0,0.4626865671641791,,,,4,0.03,
3,3,0.6931473651522665,0.6931474865606703,0.0,0.2835820895522388,,,,4,0.03,
4,4,0.6931472471664074,0.6931472194361065,0.0,0.6567164179104478,,,,4,0.03,
5,5,0.6931472561448206,0.6931471965719151,0.0,0.6268656716417911,,,,4,0.03,
6,6,0.6931472145556326,0.6931472614721249,0.0,0.26865671641791045,,,,4,0.03,
7,7,0.6931472202485234,0.6931472672941147,0.0,0.13432835820895522,,,,4,0.03,
8,8,0.6931472061191764,0.6931471797014733,0.0,0.746268656716418,,,,4,0.03,
9,9,0.6931471956298684,0.6931471819015176,0.0,0.6716417910447762,,,,4,0.03,
10,10,0.6931471968203964,0.6931472335507723,0.0,0.07462686567164178,,,,4,0.03,
11,11,0.6931471882366529,0.6931472021582611,0.0,0.34328358208955223,,,,4,0.03,
12,12,0.693147189051401,0.6931471750243674,0.0,0.6417910447761194,,,,4,0.03,
13,13,0.6931471847398274,0.6931471935929269,0.0,0.07462686567164178,,,,4,0.03,
14,14,0.693147183862649,0.6931472058078849,0.0,0.14925373134328357,,,,4,0.03,
15,15,0.6931471822409834,0.6931471837169718,0.0,0.5970149253731343,,,,4,0.03,
16,16,0.693147182693226,0.6931471852648131,0.0,0.44776119402985076,,,,4,0.03,
17,17,0.6931471812731687,0.6931471999044627,0.0,0.19402985074626866,,,,4,0.03,
18,18,0.693147181238308,0.6931471862789781,0.0,0.6119402985074627,,,,4,0.03,
19,19,0.6931471809606048,0.6931471807248288,0.0,0.417910447761194,,,,4,0.03,
20,20,0.6931471805366161,0.6931471955967752,0.0,0.26865671641791045,,,,4,0.03,
21,21,0.6931471807213352,0.6931471870248488,0.0,0.08955223880597014,,,,4,0.03,
22,22,0.6931471803190534,0.6931471794229636,0.0,0.44776119402985076,,,,4,0.03,
23,23,0.6931471801124737,0.6931471925676397,0.0,0.2835820895522388,,,,4,0.03,
24,24,0.6931471808553046,0.6931471894376459,0.0,0.11940298507462686,,,,4,0.03,
25,25,0.6931471804671496,0.6931471836885997,0.0,0.5970149253731343,,,,4,0.03,
26,26,0.6931471797988502,0.6931471927553817,0.0,0.1044776119402985,,,,4,0.03,
27,27,0.6931471801811384,0.6931471847568499,0.0,0.4925373134328358,,,,4,0.03,
28,28,0.6931471799364037,0.6931471856672163,0.0,0.23880597014925373,,,,4,0.03,
29,29,0.6931471798090636,0.6931471922651367,0.0,0.07462686567164178,,,,4,0.03,
30,30,0.6931471797068449,0.6931471852883833,0.0,0.31343283582089554,,,,4,0.03,
31,31,0.6931471801845325,0.6931471876343286,0.0,0.08955223880597014,,,,4,0.03,
32,32,0.6931471797255344,0.6931471850718803,0.0,0.208955223880597,,,,4,0.03,
33,33,0.693147179818275,0.6931471944856751,0.0,0.208955223880597,,,,4,0.03,
34,34,0.6931471801635932,0.6931471854580138,0.0,0.417910447761194,,,,4,0.03,
35,35,0.6931471798556241,0.6931471832366736,0.0,0.3880597014925373,,,,4,0.03,
36,36,0.6931471801397932,0.6931471992291038,0.0,0.05970149253731343,,,,4,0.03,
37,37,0.6931471802023211,0.6931471792522943,0.0,0.835820895522388,,,,4,0.03,
38,38,0.6931471798696747,0.693147190844428,0.0,0.07462686567164178,,,,4,0.03,
39,39,0.6931471797506541,0.6931471895655066,0.0,0.31343283582089554,,,,4,0.03,
40,40,0.6931471801060505,0.693147184860004,0.0,0.40298507462686567,,,,4,0.03,
41,41,0.6931471800805654,0.6931471883540892,0.0,0.31343283582089554,,,,4,0.03,
42,42,0.6931471800180343,0.6931471828977295,0.0,0.417910447761194,,,,4,0.03,
43,43,0.6931471805026932,0.6931471929064167,0.0,0.1791044776119403,,,,4,0.03,
44,44,0.6931471798752689,0.6931471879395339,0.0,0.22388059701492538,,,,4,0.03,
45,45,0.6931471802807148,0.6931471838092885,0.0,0.44776119402985076,,,,4,0.03,
46,46,0.6931471800866811,0.6931471916658191,0.0,0.208955223880597,,,,4,0.03,
47,47,0.6931471804763012,0.6931471838833707,0.0,0.47761194029850745,,,,4,0.03,
48,48,0.6931471802236935,0.6931471912207324,0.0,0.13432835820895522,,,,4,0.03,
49,49,0.6931471807980527,0.6931471885618499,0.0,0.11940298507462686,,,,4,0.03,
50,50,0.6931471812514947,0.6931471854588732,0.0,0.5223880597014925,,,,4,0.03,
51,51,0.6931471803332887,0.6931471956908715,0.0,0.11940298507462686,,,,4,0.03,
52,52,0.6931471800171092,0.6931471847810735,0.0,0.3283582089552239,,,,4,0.03,
53,53,0.6931471808165006,0.6931471903261123,0.0,0.1044776119402985,,,,4,0.03,
54,54,0.6931471805989555,0.6931471864847566,0.0,0.2835820895522388,,,,4,0.03,
55,55,0.6931471800477375,0.6931471899275291,0.0,0.1044776119402985,,,,4,0.03,
56,56,0.6931471802344054,0.6931471851459848,0.0,0.2835820895522388,,,,4,0.03,
57,57,0.6931471806291906,0.6931471891129756,0.0,0.08955223880597014,,,,4,0.03,
58,58,0.6931471799133793,0.6931471839153833,0.0,0.5223880597014925,,,,4,0.03,
59,59,0.6931471798150087,0.6931471927775742,0.0,0.11940298507462686,,,,4,0.03,
60,60,0.6931471800908109,0.6931471805308365,0.0,0.5373134328358209,,,,4,0.03,
61,61,0.6931471799341034,0.6931471934771419,0.0,0.11940298507462686,,,,4,0.03,
62,62,0.6931471801985832,0.6931471840774885,0.0,0.40298507462686567,,,,4,0.03,
63,63,0.6931471801852003,0.6931471886864696,0.0,0.5373134328358209,,,,4,0.03,
64,64,0.6931471801166598,0.6931471882777153,0.0,0.2835820895522388,,,,4,0.03,
65,65,0.6931471798691086,0.6931471889211597,0.0,0.19402985074626866,,,,4,0.03,
66,66,0.6931471813584155,0.6931471838137889,0.0,0.40298507462686567,,,,4,0.03,
67,67,0.6931471804660717,0.6931471906863038,0.0,0.08955223880597014,,,,4,0.03,
68,68,0.6931471803864229,0.6931471840522879,0.0,0.22388059701492538,,,,4,0.03,
