engine,setting,raw_calibrated_elo,monotonic_calibrated_elo,mcr0,ci95_low,ci95_high,games,wins,draws,losses
gaia,Skill Level=1,580.0,580.0,269.87220125332345,580.0,580.0,240,152,87,1
minic,Level=0,310.12779874667655,305.7796513636818,0.0,246.11787062010626,361.93106045482466,80,1,78,1
minic,Level=1,304.33154466178627,305.7796513636818,-5.796254084890279,240.42313456494188,363.3368210312629,80,0,79,1
minic,Level=10,327.51815809695813,327.51815809695813,17.390359350281585,280.07786138742205,379.3378257509027,160,3,156,1
minic,Level=11,333.30483124579155,328.5947918702693,23.177032499115,288.79073567332,378.3768844689128,80,2,75,3
minic,Level=12,347.78803643011724,328.5947918702693,37.6602376834407,283.4447447899879,410.4100902850985,80,3,76,1
minic,Level=13,344.89549677253063,328.5947918702693,34.76769802585409,286.3203172285177,400.3450294831802,80,0,80,0
minic,Level=14,342.0052681628631,328.5947918702693,31.877469416186557,289.25146696130764,393.3009852209812,80,1,79,0
minic,Level=15,330.42929888201195,328.5947918702693,20.301500135335402,283.4072638754073,382.98479488506945,160,3,153,4
minic,Level=16,326.08740988210064,328.5947918702693,15.959611135424097,278.5939880643862,367.6031393272167,80,2,75,3
minic,Level=17,330.4376017557315,328.5947918702693,20.309803009054974,290.2680745304004,367.95642110271257,80,2,75,3
minic,Level=18,343.4798706029744,328.5947918702693,33.35207185629787,301.81246459906487,378.31704507170423,80,4,75,1
minic,Level=19,330.450902251267,328.5947918702693,20.32310350459045,279.96853964549615,373.61997760340074,80,0,78,2
minic,Level=2,307.22424999923254,305.7796513636818,-2.903548747444006,244.7321408290755,364.3063495200191,80,1,79,0
minic,Level=20,334.7958866305219,328.5947918702693,24.668087883845374,283.8122592299859,377.1804163430578,200,2,173,25
minic,Level=21,348.1881990097149,328.5947918702693,38.06040026303833,295.83685785617894,397.7648987862631,80,3,77,0
minic,Level=22,335.51226232872347,328.5947918702693,25.38446358204692,274.5881775279097,395.5519227232399,120,4,88,28
minic,Level=23,320.5046405069034,328.5947918702693,10.376841760226853,267.4522840422527,370.343868313172,80,2,75,3
minic,Level=24,314.1956968057792,328.5947918702693,4.067898059102674,271.32030842084237,350.09722880033996,120,0,93,27
minic,Level=25,318.64466406993375,328.5947918702693,8.516865323257207,283.7040156337082,347.988985850129,160,0,159,1
minic,Level=26,311.95366601712914,328.5947918702693,1.8258672704525907,272.01548433375757,346.2350641889155,120,1,91,28
minic,Level=27,314.7145636312669,328.5947918702693,4.586764884590366,266.16417038858833,351.70879457241944,80,1,78,1
minic,Level=28,317.48018106923445,328.5947918702693,7.352382322557901,267.53298330089467,365.84487841955354,120,2,90,28
minic,Level=29,324.25107112946,328.5947918702693,14.123272382783455,275.18959970227553,375.0579674685289,80,2,77,1
minic,Level=3,301.4350120470319,305.7796513636818,-8.692786699644671,245.5694323274015,354.4975711633403,80,0,78,2
minic,Level=30,322.3375636231899,328.5947918702693,12.209764876513361,278.9566551920939,367.2679643792312,120,0,95,25
minic,Level=4,313.02434130341857,313.02434130341857,2.8965425567420198,253.34671043499608,364.96462042653343,80,1,79,0
minic,Level=5,315.9260374407582,315.9260374407582,5.798238694081647,257.1872904795711,366.15134128515086,160,1,156,3
minic,Level=6,330.4140088673635,319.5524980813367,20.286210120686974,278.01487435178376,381.7102415758105,80,3,77,0
minic,Level=7,318.82970408188294,319.5524980813367,8.70190533520639,268.96411479995663,371.78068778801,80,0,79,1
minic,Level=8,315.9318978534702,319.5524980813367,5.804099106793672,267.1040886780981,364.2782097744388,80,0,80,0
minic,Level=9,313.03438152263,319.5524980813367,2.9065827759534386,261.95746732407446,359.101956397168,80,0,78,2
