family,annotation_filter,mapping_confidence,mapping_note,neuron_count,body_ids,in_degree_mean,in_degree_median,out_degree_mean,out_degree_median,weighted_in_strength_mean,weighted_out_strength_mean,reciprocal_fraction,scc_member_fraction,scc_count,input_to_family_distance_median,family_to_readout_distance_median,neurotransmitter_counts,overlap_counts
CRE,(^|[^a-z])cre[0-9a-z'_-]*,medium,cell labels containing CRE,387,10268;10285;10368;10521;10634;10635;10669;10916;11121;11192;11236;11318;11423;11468;11607;11634;11945;12008;12418;12761;12809;12866;12873;12985;13572;13737;13870;14133;14283;14659;15124;15833;16376;16473;16617;16853;17400;17530;17776;17968;18097;18181;18187;18238;18242;18574;18591;18778;18826;19065;19594;19995;20351;20492;20895;21157;21353;21561;21613;21771;21799;21833;22146;22578;22711;22870;23198;23563;23840;23903;24249;24400;24697;24856;25004;25655;25791;25919;25975;25997;26322;26641;26720;27060;27342;27403;27524;27767;27954;28022;28123;28266;28447;28675;28685;28735;28812;29266;29364;29543;29799;29827;29958;30260;30406;30437;30493;31777;31876;32319;32455;32708;32818;32855;33010;33011;34185;34722;34903;35942;35945;36090;36487;36751;37474;37511;37714;37841;37843;38221;38272;39246;39474;40289;40324;40335;40695;40957;41401;43152;43573;44091;44217;44398;45936;46439;47023;47269;47601;47852;48120;48207;48786;48982;49290;49318;49425;50082;50226;50361;50420;50911;51609;52342;52868;53652;54058;54332;54440;54759;55265;55269;55423;57440;57639;57667;57791;58172;58481;58909;59057;59226;59453;59525;59550;59882;60262;60624;61363;61374;61779;61896;62162;62412;62574;64163;64876;65649;66067;66337;67703;67864;68170;68424;69858;70398;70557;71414;71534;71678;72136;72274;73439;74590;74794;75864;76219;78293;80165;80938;82623;82794;83402;84083;84406;84479;84747;85088;85184;86259;86661;88866;92730;92907;93054;94550;96508;97841;98606;99329;99706;100420;101869;102607;103068;103221;104633;105418;105556;108609;109149;110291;111169;111682;112915;113918;114066;114715;116134;117238;119692;121113;121510;122107;122634;123322;123570;123897;124006;125182;125249;126216;127498;130368;132786;134511;135889;136475;136890;136957;137334;138254;140955;140957;141016;141597;144034;148690;150846;152294;152435;152476;152894;154896;159177;160369;164031;167050;167563;173250;173705;178455;181556;189323;191910;201088;202360;207740;220846;230132;289948;435343;512186;512315;512459;512662;512693;512884;512925;513091;513592;513603;513928;514036;514980;515167;516233;517077;517722;518490;518505;518772;518777;519132;519284;519442;520021;520337;520393;520615;521087;521336;521351;521587;521626;521679;521971;522715;522732;523627;524170;524432;524504;524678;524897;524949;525731;525898;527327;529997;530798;530872;530874;530878;530941;531666;531708;532568;532920;533580;533590;534301;535065;535076;543429;543430;545611;548428;556399;556994;558840;559410;559532;578554;578892;584085;916091,105.48062015503876,82.0,103.92248062015504,87.0,1.0,0.8616201877593994,0.9896640826873385,1.0,1,2.0,2.0,"{""acetylcholine"": 227, ""gaba"": 92, ""glutamate"": 68}","{""LAL"": 2, ""SMP"": 4, ""descending"": 2}"
DAN_modulatory_MB,dan|dopaminergic,high,class/type labels containing DAN or dopaminergic,344,10399;10753;11327;11560;11618;11752;11900;12333;12902;13259;13312;13428;14182;14225;14705;15310;15693;15888;21145;28434;29565;32865;33316;36624;37845;39617;43756;44903;46794;47196;48113;49043;53285;55210;58941;60273;60930;61360;62731;63391;65524;65559;65886;66934;69722;72601;74743;74856;75922;76362;80744;83277;83852;86066;86156;86431;87177;88477;90678;90867;90902;91391;91875;92324;93704;94250;94922;95523;96497;96571;97990;98265;98554;99089;100258;102936;103255;103433;104460;104713;105362;105365;105447;107285;107986;108429;108576;109624;109793;110653;111665;113001;113067;114216;114522;114661;114700;115617;115868;117782;119499;119763;120259;120768;122062;124918;125080;126501;126900;127659;128076;129430;129563;131419;131607;132513;133019;134265;134769;134869;135046;135171;135287;135290;135578;136024;136144;136215;137321;137373;137539;137595;138585;138629;138822;139280;139378;139706;140271;141246;141510;141615;142238;142528;142538;142660;142898;143120;144126;144315;144625;144678;145022;145094;145148;145324;145371;145749;146058;146418;146603;146773;146774;147184;147591;147857;148328;148469;149869;150034;150177;150828;150983;151013;151133;151993;152019;152044;152056;152291;152326;152385;152428;152997;153035;153771;153931;154230;154387;155329;155916;156028;156046;157016;157134;157257;157370;157683;157767;157816;158196;158372;158651;158917;159062;159158;159831;160277;161079;161153;161596;162050;162116;162631;163194;163883;163951;164086;164279;164601;165187;165365;167009;167073;168020;168080;169027;169278;169674;170450;170467;171959;174255;174384;174672;174862;175232;175459;175964;176429;176460;177202;177603;177800;178101;178487;178539;178945;180403;181924;183567;184778;185518;186566;190296;190297;190635;192245;196030;196622;196985;197691;197920;198507;198758;200973;202330;203682;203885;204930;205884;206851;207122;207463;209656;212085;212160;212684;213743;215931;215940;217007;217737;218518;218583;224160;224205;224500;226452;226708;230802;231413;238644;239873;242429;243477;252045;257650;259089;259486;273182;291665;292203;297139;319321;325731;336850;341512;506819;512326;515048;516044;518072;518137;519616;520182;520384;520403;520616;523382;523553;523638;523791;523942;524069;525787;528100;529512;529516;532715;533294;543677;544257;544359;544770;547260;552362;553201;567409;577933;580579;909818;920537;933708,137.57558139534885,79.0,0.0,0.0,1.0,0.0,0.0,0.0,344,2.0,,"{""dopamine"": 342, ""unclear"": 2}","{""central_complex"": 4, ""fan_shaped_body"": 4}"
Delta7,delta.?7|delta7,high,cell labels containing Delta7,42,10513;11184;14509;14806;14816;15398;15399;15409;15495;15654;15837;15839;15851;15904;16110;16180;16234;16412;16476;16540;16553;16869;17024;17143;17379;17753;17804;18639;18823;35324;434891;511841;515294;515961;517417;519331;519332;522994;524074;529318;533725;568155,80.28571428571429,80.0,139.78571428571428,140.5,1.0,2.837677478790283,1.0,1.0,1,3.0,2.0,"{""glutamate"": 42}","{""PB_EB_associated"": 42, ""central_complex"": 42}"
EPG,epg,high,cell labels containing EPG,50,10539;11307;11503;11874;11987;11989;12449;13217;14507;14727;15616;15713;16360;19125;19825;40768;55630;57591;84758;88342;92188;107195;131313;512305;512513;512514;512928;513033;513284;513463;513464;513517;513520;514126;515675;519140;519144;519328;519941;520581;520812;520818;521409;521812;521813;523786;524073;543506;556346;556347,261.02,279.5,157.42,163.0,1.0,1.3244563341140747,1.0,1.0,1,2.0,2.0,"{""acetylcholine"": 50}","{""PB_EB_associated"": 50, ""central_complex"": 50}"
FC,(^|[^a-z])fc[0-9a-z'_-]*,medium,cell labels containing FC,277,23643;27502;29674;31499;33356;33382;34019;34203;34802;35018;35277;35738;36201;36227;37004;38832;39538;40179;41559;41941;42118;42736;43814;43928;44554;45343;45789;45876;46169;46209;47796;47996;48248;48277;48524;48556;48583;50431;50461;50885;50891;50905;51519;51611;51782;52027;52427;52649;52966;53352;53837;54184;54283;54911;55037;55049;55401;55415;55538;56106;56146;56382;56466;56545;56581;56607;56635;56799;56839;56905;57309;57587;57603;58073;58113;58335;58565;59719;59806;59813;60215;60323;60474;60586;60670;61568;61731;61930;61978;62262;62443;62712;62821;62962;63838;64139;64270;64591;64684;64842;65579;65947;66205;66309;66418;66479;66750;67006;67024;67250;67361;67456;67717;67741;68039;68121;68271;68502;68579;69106;69315;69783;69923;71015;71397;71718;71855;72390;72902;73244;74326;74349;74480;75558;75581;76845;77770;77911;78549;78718;79204;81176;82236;82293;82637;82884;83804;84708;85400;85745;87610;87630;87815;88795;89635;89657;90155;90331;90497;91537;92514;92611;92664;94100;94805;95713;96384;97443;99820;101011;103466;103482;106292;106495;107521;107690;108286;108643;109752;110323;111244;112888;112940;113398;113500;114009;115261;115674;117356;118617;119544;119668;119819;120591;122167;122334;124562;127661;129780;129790;130007;130104;130835;131273;131984;132482;133953;135084;137299;137990;138121;139763;140787;140794;141430;144488;144997;147399;148830;149160;149740;151739;151820;152346;153441;153558;155872;158363;170539;236557;241046;513703;515233;515959;518519;518520;518521;518606;519354;519358;519359;524977;525224;526406;529253;529266;529453;529992;530445;531073;532704;533435;533436;534560;534561;534662;535098;535099;536354;537128;540248;542246;542590;542782;542805;543298;543495;544358;545381;546044;549620;550577;550660;550769;551404;560327;571291,73.84476534296029,56.0,59.057761732851986,56.0,1.0,0.5565516352653503,0.9963898916967509,1.0,1,3.0,2.0,"{""acetylcholine"": 277}","{""central_complex"": 277}"
LAL,lal,medium,cell labels containing LAL,721,10018;10210;10211;10290;10369;10517;10525;10546;10606;10725;10830;10868;10962;11004;11012;11026;11054;11066;11186;11199;11232;11245;11280;11351;11405;11410;11416;11457;11490;11516;11636;11659;11750;11779;11795;11878;11891;11924;12104;12107;12155;12174;12183;12206;12252;12297;12298;12310;12327;12347;12359;12408;12429;12437;12724;12755;12910;12936;12943;12954;12974;12995;13067;13123;13151;13182;13184;13201;13219;13240;13273;13301;13324;13371;13404;13450;13463;13517;13607;13667;13692;13710;13724;13760;13800;13824;13858;13860;13877;13896;13930;13991;14040;14064;14076;14093;14137;14188;14190;14192;14223;14259;14264;14276;14415;14435;14438;14521;14542;14619;14674;14717;14746;14787;14828;14830;14840;14869;14881;14986;15083;15151;15274;15304;15344;15364;15441;15486;15499;15566;15663;15674;15684;15689;15699;15789;15809;15905;15911;16000;16003;16072;16274;16311;16402;16493;16571;16642;16707;16708;16735;16862;16953;16986;17051;17082;17113;17201;17220;17232;17391;17420;17421;17508;17532;17685;17691;17706;17751;17821;18041;18056;18081;18128;18403;18436;18480;18597;18599;18745;18777;18817;18825;18876;18928;18956;19090;19112;19163;19255;19283;19308;19309;19318;19334;19338;19445;19452;19478;19541;19554;19566;19586;19616;19651;19720;19736;19816;19843;19858;19998;20076;20199;20362;20545;20705;20755;20798;20922;21174;21230;21400;21564;21688;21719;21823;21849;22072;22122;22126;22185;22191;22419;22524;22791;22937;23212;23230;23298;23325;23479;23508;23621;23654;23831;24016;24584;24688;25100;25145;25481;25547;25552;25555;25939;26353;26527;26749;27117;27372;27522;27725;27893;28010;28186;28211;28262;28419;28423;28591;28708;28999;29205;29458;29930;29949;30318;30504;30540;30678;30720;30801;30955;31058;31070;31276;31642;31967;32081;32918;33075;33289;33380;33677;34187;34223;34265;34942;35503;35591;35677;35965;36137;36161;36671;37378;37588;37611;38008;38104;38338;38847;38858;38870;39080;39609;40047;40385;40591;40888;41054;41291;41707;42132;42306;42372;42543;42625;42632;42932;43152;43357;43442;43504;43806;43842;44309;44732;44851;45192;45628;46409;46743;46760;46788;47059;47228;47452;47830;47969;48301;49185;49447;49492;49548;49876;50397;50470;50669;51065;52063;52889;53785;53818;53835;54163;54247;54572;55319;55361;55385;55438;55801;56032;56308;56494;56538;56877;56988;57102;57595;58016;58704;60609;61079;61883;62207;63204;63675;63923;64140;64176;64180;64301;64627;65375;65472;65949;66127;66198;66337;67789;67889;68241;69802;70325;71751;72181;72632;72857;74046;74095;74131;76486;76777;76829;77432;77483;79407;82136;82205;82950;83041;83467;83619;85570;86750;87238;88104;88207;88318;88940;89472;89529;89545;90224;90885;91087;92751;95485;95863;98157;98319;98336;98545;99043;99646;99682;99882;100006;100294;100478;101138;101286;101584;101652;103997;104033;104141;104531;104830;111352;111796;112897;113073;114507;115340;116555;116646;116987;118264;118996;120064;122262;123599;123833;125794;127111;127432;128709;129234;129805;129947;130138;130784;131580;133222;134610;137297;137570;138380;138739;139961;141537;141870;142705;142802;142915;143172;144787;146588;148381;148711;148891;149390;150106;150335;151329;151471;151629;152644;152746;153054;154478;155395;155663;157274;160734;161592;161856;162643;162777;163096;163238;168670;169003;169799;172928;174170;175681;178647;178990;180654;185056;187891;188890;190421;193932;200284;208317;218021;220649;240951;247112;256206;258547;312712;383941;419175;447301;511776;511821;511839;512077;512094;512258;512278;512390;512392;512520;512542;512544;512663;512694;512695;512750;512791;512858;513177;513401;513402;513594;513649;513691;513764;513791;513794;513888;513889;513929;514053;514361;514362;514677;514768;515032;515293;515799;515800;516098;516170;516256;516286;516347;516653;517101;517669;517723;517724;518127;518220;518464;518530;518835;519093;519129;519230;519461;519716;519720;519724;519818;519865;519889;519890;519892;519895;519925;519944;519979;520115;520155;520199;520217;520366;520367;520613;520641;520642;520820;520821;521525;521527;521529;521536;521624;521698;522387;522706;522707;522738;522807;522809;523715;523716;523772;523814;523862;523863;523926;523985;524000;524005;524213;524393;524483;524732;524755;524894;524902;525069;525279;525306;525959;525960;526245;526297;526387;526612;527207;529489;529641;529707;529709;529710;529784;529803;529808;530156;530340;530667;530668;530702;531184;531557;531732;532051;532220;532748;532751;532906;532909;533411;533591;533667;535289;536124;536253;536935;537444;539151;539226;543891;543906;544279;549208;555344;555726;555727;555729;556343;557139;557800;558854;558899;559087;559506;570035;571495;578855;580144,113.14701803051318,82.0,96.21497919556172,84.0,1.0,1.1104799509048462,0.9500693481276006,0.9778085991678225,17,2.0,1.0,"{""acetylcholine"": 377, ""dopamine"": 2, ""gaba"": 140, ""glutamate"": 188, ""unclear"": 14}","{""CRE"": 2, ""SMP"": 6, ""central_complex"": 8, ""descending"": 10, ""visual_projection"": 2}"
MBON,mbon,high,class/type labels containing MBON,97,10013;10079;10267;10495;10599;10704;10804;10816;10826;11145;11176;11402;11455;11777;11785;11805;11873;11990;12690;12726;12859;12918;13728;13768;14221;15626;15708;17946;18406;18603;18713;19267;19366;20835;21242;26485;26853;28622;31016;31083;33617;36094;38853;38859;39608;41692;44619;47551;49262;58401;70924;76585;87077;92112;110448;133427;160320;187741;208566;394860;508595;512788;512789;513174;513387;513391;514853;515015;515034;515338;519128;519131;519368;519371;519373;519619;520151;520186;520395;521086;521526;522444;522749;523043;523060;523628;523987;524733;524893;525780;530875;531829;540383;556300;558665;562782;579919,548.1546391752578,444.0,163.83505154639175,125.0,1.0,2.4241373538970947,0.9690721649484536,1.0,1,2.0,2.0,"{""acetylcholine"": 50, ""gaba"": 21, ""glutamate"": 26}",{}
