population_id,anatomical_family,population_size,train_depth,test_depth,validation_pair_accuracy,validation_top1_accuracy,validation_top3_accuracy,validation_mean_teacher_regret_cp,validation_mean_selected_teacher_rank,validation_mean_spearman,validation_mean_kendall,validation_mean_score_margin,validation_near_zero_unit_fraction,validation_saturated_unit_fraction,winner_switch_frequency_across_test_depth
readout_fan_shaped_body,fan_shaped_body,256,16,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.59765625
readout_fan_shaped_body,fan_shaped_body,256,16,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.9921875,0.0003489529388917659,0.59765625
readout_fan_shaped_body,fan_shaped_body,256,16,4,0.6108730583824317,0.0390625,0.140625,5103.5546875,15.71875,0.13989540839141285,0.09271798903857773,0.703800821211189,0.03585011004660797,0.024527851501812532,0.59765625
readout_fan_shaped_body,fan_shaped_body,256,16,8,0.712372790573112,0.0859375,0.296875,5098.9296875,13.703125,0.20101206510481762,0.14173667345826924,0.5210357923060656,1.0114577938891765e-06,0.017031937791299846,0.59765625
readout_fan_shaped_body,fan_shaped_body,256,16,16,0.7265666845206213,0.1015625,0.3359375,5867.8203125,13.3671875,0.21203375841419267,0.15102818491241424,0.5196343841962516,0.0,0.01609128204298291,0.59765625
readout_fan_shaped_body,fan_shaped_body,256,16,32,0.7155865024102839,0.1171875,0.265625,4364.546875,15.65625,0.18686745301665517,0.13250791584899113,0.46987735014408827,1.0114577938891765e-06,0.01526694394096323,0.59765625
readout_fan_shaped_body,fan_shaped_body,256,16,64,0.6665773968934119,0.0546875,0.1953125,4397.0703125,15.28125,0.1475073448693869,0.1033583557221383,1.3295010020956397,2.022915587778353e-06,0.008569070429829104,0.59765625
readout_fan_shaped_body,fan_shaped_body,256,32,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.5416666666666666
readout_fan_shaped_body,fan_shaped_body,256,32,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.9921875,0.0003489529388917659,0.5416666666666666
readout_fan_shaped_body,fan_shaped_body,256,32,4,0.611944295661489,0.03125,0.125,5105.953125,15.71875,0.1365995672450579,0.09143163622932012,0.5993400323204696,0.03585011004660797,0.024527851501812532,0.5416666666666666
readout_fan_shaped_body,fan_shaped_body,256,32,8,0.7029994643813605,0.09375,0.28125,5084.6640625,12.6875,0.19981850397537332,0.14132510268915835,0.6937607852742076,1.0114577938891765e-06,0.017031937791299846,0.5416666666666666
readout_fan_shaped_body,fan_shaped_body,256,32,16,0.7252276379217997,0.1015625,0.375,5879.328125,13.640625,0.21210952477337264,0.15193568933989332,0.6564693222753704,0.0,0.01609128204298291,0.5416666666666666
readout_fan_shaped_body,fan_shaped_body,256,32,32,0.7308516336368506,0.1171875,0.3515625,5858.0703125,13.2109375,0.21323564681749685,0.15174218067674444,0.5062292022630572,1.0114577938891765e-06,0.01526694394096323,0.5416666666666666
readout_fan_shaped_body,fan_shaped_body,256,32,64,0.6778253883235137,0.046875,0.1796875,3629.4296875,15.484375,0.17019178181960748,0.12051932292404116,0.9732961654663086,2.022915587778353e-06,0.008569070429829104,0.5416666666666666
readout_fan_shaped_body,fan_shaped_body,256,64,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.4283854166666667
readout_fan_shaped_body,fan_shaped_body,256,64,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.9921875,0.0003489529388917659,0.4283854166666667
readout_fan_shaped_body,fan_shaped_body,256,64,4,0.6207820032137118,0.0625,0.171875,5147.28125,14.953125,0.15917393407674485,0.11053414144021809,0.7484386702999473,0.03585011004660797,0.024527851501812532,0.4283854166666667
readout_fan_shaped_body,fan_shaped_body,256,64,8,0.6933583288698447,0.078125,0.2578125,5154.328125,15.75,0.1784509544357083,0.12525978108853575,1.3753291498869658,1.0114577938891765e-06,0.017031937791299846,0.4283854166666667
readout_fan_shaped_body,fan_shaped_body,256,64,16,0.6917514729512587,0.078125,0.2421875,5153.890625,15.1796875,0.17914175523037246,0.12787868434854757,1.3271345952525735,0.0,0.01609128204298291,0.4283854166666667
