population_id,role,anatomical_family,population_size,mean_in_degree,mean_out_degree,mean_in_strength,mean_out_strength,reachable_from_baseline_sensory_fraction,median_distance_from_baseline_sensory,reachable_to_baseline_readout_fraction,median_distance_to_baseline_readout,scc_member_fraction,scc_count,atlas_mapping_confidence,depth,validation_mean_teacher_regret_cp
readout_fan_shaped_body,readout,fan_shaped_body,256,107.0234375,115.5390625,1.0,1.3369052410125732,1.0,2.0,0.9453125,2.0,0.9453125,15,medium,1.0,4347.421875
readout_fan_shaped_body,readout,fan_shaped_body,256,107.0234375,115.5390625,1.0,1.3369052410125732,1.0,2.0,0.9453125,2.0,0.9453125,15,medium,8.0,5102.0078125
readout_fb_combined,readout,fb_combined,256,123.80859375,113.96484375,1.0,1.7034353017807007,1.0,2.0,0.953125,2.0,0.953125,13,,1.0,4347.421875
readout_fb_combined,readout,fb_combined,256,123.80859375,113.96484375,1.0,1.7034353017807007,1.0,2.0,0.953125,2.0,0.953125,13,,8.0,5115.7578125
readout_fc,readout,fc,256,74.0078125,58.6953125,1.0,0.5505662560462952,1.0,2.0,1.0,2.0,1.0,1,,1.0,4347.421875
readout_fc,readout,fc,256,74.0078125,58.6953125,1.0,0.5505662560462952,1.0,2.0,1.0,2.0,1.0,1,,8.0,4344.4453125
readout_fc_pfn_pfr_combined,readout,fc_pfn_pfr_combined,256,47.51953125,48.4375,1.0,0.5750021934509277,1.0,3.0,0.97265625,2.0,0.97265625,8,,1.0,4347.421875
readout_fc_pfn_pfr_combined,readout,fc_pfn_pfr_combined,256,47.51953125,48.4375,1.0,0.5750021934509277,1.0,3.0,0.97265625,2.0,0.97265625,8,,8.0,5095.90625
readout_hdelta_family,readout,hdelta_family,189,127.57671957671958,88.78306878306879,1.0,1.6975494623184204,1.0,3.0,1.0,2.0,1.0,1,,1.0,4347.421875
readout_hdelta_family,readout,hdelta_family,189,127.57671957671958,88.78306878306879,1.0,1.6975494623184204,1.0,3.0,1.0,2.0,1.0,1,,8.0,5113.6640625
readout_lal,readout,lal,256,113.8984375,98.2265625,1.0,1.3754785060882568,1.0,2.0,0.984375,1.0,0.984375,5,,1.0,4347.421875
readout_lal,readout,lal,256,113.8984375,98.2265625,1.0,1.3754785060882568,1.0,2.0,0.984375,1.0,0.984375,5,,8.0,4305.3046875
readout_lal_descending_combined,readout,lal_descending_combined,256,158.65234375,161.05859375,1.0,2.0425822734832764,1.0,2.0,0.9921875,1.0,0.98828125,4,,1.0,4347.421875
readout_lal_descending_combined,readout,lal_descending_combined,256,158.65234375,161.05859375,1.0,2.0425822734832764,1.0,2.0,0.9921875,1.0,0.98828125,4,,8.0,5067.6953125
readout_mbon,readout,mbon,97,548.1546391752578,163.83505154639175,1.0,2.4241373538970947,1.0,2.0,1.0,2.0,1.0,1,,1.0,4347.421875
readout_mbon,readout,mbon,97,548.1546391752578,163.83505154639175,1.0,2.4241373538970947,1.0,2.0,1.0,2.0,1.0,1,,8.0,4349.78125
readout_mbon_smp_cre_sip_combined,readout,mbon_smp_cre_sip_combined,256,112.375,91.453125,1.0,0.982510507106781,1.0,2.0,0.96484375,2.0,0.96484375,10,,1.0,4347.421875
readout_mbon_smp_cre_sip_combined,readout,mbon_smp_cre_sip_combined,256,112.375,91.453125,1.0,0.982510507106781,1.0,2.0,0.96484375,2.0,0.96484375,10,,8.0,3483.734375
readout_mb_kenyon_cells,readout,mb_kenyon_cells,256,36.12109375,49.86328125,1.0,0.48474740982055664,1.0,2.0,1.0,2.0,1.0,1,,1.0,4347.421875
readout_mb_kenyon_cells,readout,mb_kenyon_cells,256,36.12109375,49.86328125,1.0,0.48474740982055664,1.0,2.0,1.0,2.0,1.0,1,,8.0,5135.53125
readout_pb_eb_associated,readout,pb_eb_associated,256,98.76953125,82.75,1.0,1.0930373668670654,1.0,2.0,0.89453125,2.0,0.89453125,28,,1.0,4347.421875
readout_pb_eb_associated,readout,pb_eb_associated,256,98.76953125,82.75,1.0,1.0930373668670654,1.0,2.0,0.89453125,2.0,0.89453125,28,,8.0,3457.1171875
readout_pfl,readout,pfl,52,152.15384615384616,73.6923076923077,1.0,0.6982088088989258,1.0,2.0,0.9615384615384616,1.0,0.9615384615384616,3,,1.0,4347.421875
