graph_index,body_id,role,superclass,class,subclass,type,flywire_type,hemibrain_type,manc_type,in_degree,out_degree,weighted_in_strength,weighted_out_strength,reciprocal_edge,input_reach_depth,output_reverse_distance
153962,814425,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta45,nan,nan,SNta45,12,54,1.0,0.5768953561782837,1,0,2
154037,814525,baseline_sensory,vnc_sensory,gustatory,leg bristle,LgLG3,nan,nan,SNch09,12,45,0.9999999403953552,0.7136439085006714,1,0,1
154061,814557,baseline_sensory,vnc_sensory,gustatory,leg bristle,LgLG1a,nan,nan,SNch05,21,50,1.0,1.795210838317871,1,0,2
154114,814624,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta29,nan,nan,SNta29,21,71,0.9999998807907104,0.6297995448112488,1,0,1
154125,814642,baseline_sensory,vnc_sensory,mechanosensory_tactile,notum,"SNta02,SNta09",nan,nan,"SNta02,SNta09",32,68,1.0,0.7884694933891296,1,0,2
154161,814688,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx14,nan,nan,SNxx14,34,63,1.0000001192092896,1.0177313089370728,1,0,2
154177,814708,baseline_sensory,vnc_sensory,mechanosensory_proprioceptive,abdomen,SNpp01,nan,nan,SNpp01,8,42,1.0,0.7325512170791626,1,0,2
154191,814728,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta21,nan,nan,SNta21,11,45,1.0000001192092896,0.3931956887245178,1,0,2
154217,814764,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx11,nan,nan,SNxx11,15,40,1.0,0.2186661809682846,1,0,2
154257,814822,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta32,nan,nan,SNta32,13,41,0.9999998807907104,0.7308493852615356,1,0,1
154302,814883,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta43,nan,nan,SNta43,15,54,0.9999998807907104,0.4847238063812256,1,0,1
154304,814885,baseline_sensory,vnc_sensory,mechanosensory_tactile,notum,"SNta02,SNta09",nan,nan,"SNta02,SNta09",28,53,1.0,0.5119113922119141,1,0,2
154354,814948,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta42,nan,nan,SNta42,14,48,1.0000001192092896,0.5214329361915588,1,0,2
154444,815077,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,"SNta04,SNta11",nan,nan,"SNta04,SNta11",28,56,1.0,0.7942109107971191,1,0,1
154466,815111,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta29,nan,nan,SNta29,7,45,1.0,0.44593870639801025,1,0,1
154490,815147,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta41,nan,nan,SNta41,12,46,1.0,0.43824243545532227,1,0,1
154491,815148,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta11,nan,nan,SNta11,18,56,1.0,0.464211642742157,1,0,1
154495,815153,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta37,nan,nan,SNta37,14,54,1.0,0.37421950697898865,1,0,2
154521,815186,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta11,nan,nan,SNta11,21,53,1.0,0.3647465109825134,1,0,1
154531,815197,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,"SNta19,SNta37",nan,nan,"SNta19,SNta37",20,60,1.0,0.27388226985931396,1,0,1
154621,815329,baseline_sensory,vnc_sensory,mechanosensory_proprioceptive,leg,SNppxx,nan,nan,SNppxx,3,27,1.0,0.1662195920944214,0,0,2
154642,815365,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta37,nan,nan,SNta37,14,57,1.0,0.4484100043773651,1,0,2
154644,815368,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta34,nan,nan,SNta34,12,43,1.0,0.27735111117362976,1,0,2
154645,815369,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta37,nan,nan,SNta37,15,59,1.0,0.7556987404823303,1,0,2
154646,815371,baseline_sensory,vnc_sensory,gustatory,wing bristle,WG4,nan,nan,SNch02,25,52,1.0,1.1607944965362549,1,0,2
154671,815410,baseline_sensory,vnc_sensory,gustatory,wing bristle,WG4,nan,nan,SNch02,26,52,1.0,0.9547258615493774,1,0,2
154723,815483,baseline_sensory,vnc_sensory,mechanosensory_proprioceptive,leg,nan,nan,nan,nan,4,21,1.0,0.45466455817222595,0,0,2
154751,815521,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx04,nan,nan,SNxx04,22,44,0.9999999403953552,0.5231055617332458,1,0,2
154770,815549,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta33,nan,nan,SNta33,20,48,1.0000001192092896,0.8048198223114014,1,0,1
154897,815725,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,"SNta28,SNta44",nan,nan,"SNta28,SNta44",14,58,1.0,0.4071319103240967,1,0,2
154917,815749,baseline_sensory,vnc_sensory,gustatory,leg bristle,LgLG4,nan,nan,SNch11,6,17,1.0,2.145994186401367,1,0,2
154954,815796,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta35,nan,nan,SNta35,13,46,1.0,0.48601585626602173,1,0,1
154980,815827,baseline_sensory,vnc_sensory,mechanosensory_proprioceptive,campaniform sensilla,"SApp02,SApp03",nan,nan,"SApp02,SApp03",7,41,1.0,0.5602919459342957,1,0,2
155051,815930,baseline_sensory,vnc_sensory,gustatory,wing bristle,WG2,nan,nan,SNch12,26,40,0.9999999403953552,1.1771206855773926,1,0,2
155055,815937,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta37,nan,nan,SNta37,16,59,1.0000001192092896,0.5025860071182251,1,0,1
155121,816028,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx14,nan,nan,SNxx14,19,50,1.0,0.4578676223754883,1,0,2
155254,816217,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta37,nan,nan,SNta37,8,49,1.0,1.2950390577316284,1,0,2
155262,816234,baseline_sensory,vnc_sensory,mechanosensory_proprioceptive,hair plate,SNpp45,nan,nan,SNpp45,11,60,1.0,0.8501690626144409,1,0,2
155297,816285,baseline_sensory,vnc_sensory,gustatory,leg bristle,LgLG2,nan,nan,nan,18,27,1.0,0.9920532703399658,1,0,2
155316,816312,baseline_sensory,vnc_sensory,mechanosensory_tactile,notum,"SNta02,SNta09",nan,nan,"SNta02,SNta09",21,52,1.0000001192092896,0.4382174611091614,1,0,2
155327,816328,baseline_sensory,vnc_sensory,unknown_sensory,leg,SNxx33,nan,nan,SNxx33,12,39,0.9999999403953552,0.6971805691719055,1,0,2
155329,816330,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx22,nan,nan,SNxx22,11,39,0.9999999403953552,0.4727296531200409,1,0,2
155347,816362,baseline_sensory,vnc_sensory,mechanosensory_proprioceptive,chordotonal organ,SNpp41,nan,nan,SNpp41,7,51,0.9999999403953552,0.42192983627319336,1,0,1
155366,816390,baseline_sensory,vnc_sensory,mechanosensory_tactile,notum,"SNta02,SNta09",nan,nan,"SNta02,SNta09",14,48,1.0,0.5209999084472656,1,0,2
155465,816549,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx04,nan,nan,SNxx04,23,44,0.9999998807907104,0.5287022590637207,1,0,2
155492,816593,baseline_sensory,vnc_sensory,gustatory,wing bristle,WG2,nan,nan,SNch12,36,41,1.0,0.9476935267448425,1,0,2
155510,816622,baseline_sensory,vnc_sensory,mechanosensory_tactile,notum,"SNta02,SNta09",nan,nan,"SNta02,SNta09",25,49,1.0,0.6000155806541443,1,0,2
155512,816626,baseline_sensory,vnc_sensory,gustatory,leg bristle,LgLG3,nan,nan,SNch09,9,18,1.0,0.9833540320396423,1,0,1
155535,816665,baseline_sensory,vnc_sensory,mechanosensory_proprioceptive,chordotonal organ,SNpp56,nan,nan,SNpp56,4,38,1.0,0.43715575337409973,1,0,2
155552,816689,baseline_sensory,vnc_sensory,mechanosensory_tactile,leg,SNta27,nan,nan,SNta27,6,47,1.0,0.41676974296569824,1,0,2
155561,816702,baseline_sensory,vnc_sensory,mechanosensory_proprioceptive,abdomen,SNpp02,nan,nan,SNpp02,6,34,1.0,0.28335511684417725,1,0,2
