game_id,matchup_id,opening_pair,opening_fen,game_in_pair,white_engine,white_setting,black_engine,black_setting,result,white_score,plies,elapsed_s,status,error,opening_pair_index
matchup_005_opening_000_0,matchup_005,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=5,minic,Level=6,1/2-1/2,0.5,80,0.3171841999865137,complete,,0
matchup_005_opening_000_1,matchup_005,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=6,minic,Level=5,1/2-1/2,0.5,80,0.2710378000047058,complete,,0
matchup_005_opening_001_0,matchup_005,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=5,minic,Level=6,1/2-1/2,0.5,80,0.27917320001870394,complete,,1
matchup_005_opening_001_1,matchup_005,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=6,minic,Level=5,1/2-1/2,0.5,80,0.32327260001329705,complete,,1
matchup_006_opening_000_0,matchup_006,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=6,minic,Level=7,1/2-1/2,0.5,80,0.3960493999766186,complete,,0
matchup_006_opening_000_1,matchup_006,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=7,minic,Level=6,1/2-1/2,0.5,80,0.3293866000021808,complete,,0
matchup_006_opening_001_0,matchup_006,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=6,minic,Level=7,1/2-1/2,0.5,80,0.32095149997621775,complete,,1
matchup_006_opening_001_1,matchup_006,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=7,minic,Level=6,1/2-1/2,0.5,80,0.2725312000256963,complete,,1
matchup_007_opening_000_0,matchup_007,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=7,minic,Level=8,1/2-1/2,0.5,80,0.31223570002475753,complete,,0
matchup_007_opening_000_1,matchup_007,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=8,minic,Level=7,1/2-1/2,0.5,80,0.30489480000687763,complete,,0
matchup_007_opening_001_0,matchup_007,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=7,minic,Level=8,1/2-1/2,0.5,80,0.33725360000971705,complete,,1
matchup_007_opening_001_1,matchup_007,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=8,minic,Level=7,1/2-1/2,0.5,80,0.3359076999477111,complete,,1
matchup_008_opening_000_0,matchup_008,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=8,minic,Level=9,1/2-1/2,0.5,80,0.35584799997741356,complete,,0
matchup_008_opening_000_1,matchup_008,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=9,minic,Level=8,1/2-1/2,0.5,80,0.3005401000264101,complete,,0
matchup_008_opening_001_0,matchup_008,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=8,minic,Level=9,1/2-1/2,0.5,80,0.35549369995715097,complete,,1
matchup_008_opening_001_1,matchup_008,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=9,minic,Level=8,1/2-1/2,0.5,80,0.29608199995709583,complete,,1
matchup_009_opening_000_0,matchup_009,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=9,minic,Level=10,1/2-1/2,0.5,80,0.3676133999833837,complete,,0
matchup_009_opening_000_1,matchup_009,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=10,minic,Level=9,1/2-1/2,0.5,80,0.2911465999786742,complete,,0
matchup_009_opening_001_0,matchup_009,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=9,minic,Level=10,1-0,1.0,15,0.018992099969182163,complete,,1
matchup_009_opening_001_1,matchup_009,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=10,minic,Level=9,1/2-1/2,0.5,80,0.3365125000127591,complete,,1
matchup_010_opening_000_0,matchup_010,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=10,minic,Level=11,1/2-1/2,0.5,80,0.29349450004519895,complete,,0
