stage,validation_positions,top1_accuracy_d8,top3_accuracy_d8,pairwise_ranking_accuracy_d8,mean_regret_cp_d8,median_regret_cp_d8,trimmed_mean_regret_cp_d8,p90_regret_cp_d8,p95_regret_cp_d8,blunder_rate_gt500cp_d8,blunder_rate_gt1000cp_d8,mate_blunder_count_d8,mean_teacher_rank_d8,legal_selection_rate_d8,movement_piece_accuracy_d8,mate_solve_rate_d8,evaluation_stage,target_stage,drop_from_own_stage
movement,18,0.7222222222222222,0.8333333333333334,0.7222222222222222,55.55555555555556,0.0,40.0,200.0,200.0,0.0,0.0,0,4.444444444444445,0.7222222222222222,"{""bishop"": 0.6666666666666666, ""king"": 1.0, ""knight"": 1.0, ""pawn"": 0.3333333333333333, ""queen"": 0.6666666666666666, ""rook"": 0.6666666666666666}",0.7222222222222222,endgames,movement,0.0
movement,18,0.7222222222222222,0.8333333333333334,0.7222222222222222,55.55555555555556,0.0,40.0,200.0,200.0,0.0,0.0,0,4.444444444444445,0.7222222222222222,"{""bishop"": 0.6666666666666666, ""king"": 1.0, ""knight"": 1.0, ""pawn"": 0.3333333333333333, ""queen"": 0.6666666666666666, ""rook"": 0.6666666666666666}",0.7222222222222222,tactics,movement,0.0
endgames,16,0.1875,0.625,0.1875,6328.625,12.0,90.46153846153847,645.0,25366.5,0.1875,0.0625,0,2.9375,,{},0.1875,tactics,endgames,0.0
movement,18,0.7222222222222222,0.7777777777777778,0.7222222222222222,55.55555555555556,0.0,40.0,200.0,200.0,0.0,0.0,0,4.444444444444445,0.7222222222222222,"{""bishop"": 0.6666666666666666, ""king"": 1.0, ""knight"": 1.0, ""pawn"": 0.3333333333333333, ""queen"": 0.6666666666666666, ""rook"": 0.6666666666666666}",0.7222222222222222,mates,movement,0.0
endgames,16,0.1875,0.625,0.1875,6328.625,12.0,90.46153846153847,645.0,25366.5,0.1875,0.0625,0,2.9375,,{},0.1875,mates,endgames,0.0
tactics,25,0.24,0.68,0.24,281.12,210.0,195.15,798.8000000000001,1033.5999999999992,0.16,0.08,0,2.64,,{},0.24,mates,tactics,0.0
