stage,validation_positions,top1_accuracy_d8,top3_accuracy_d8,pairwise_ranking_accuracy_d8,mean_regret_cp_d8,median_regret_cp_d8,trimmed_mean_regret_cp_d8,p90_regret_cp_d8,p95_regret_cp_d8,blunder_rate_gt500cp_d8,blunder_rate_gt1000cp_d8,mate_blunder_count_d8,mean_teacher_rank_d8,legal_selection_rate_d8,movement_piece_accuracy_d8,mate_solve_rate_d8,plasticity
movement,18,0.7222222222222222,0.7777777777777778,0.7222222222222222,55.55555555555556,0.0,40.0,200.0,200.0,0.0,0.0,0,4.444444444444445,0.7222222222222222,"{""bishop"": 0.6666666666666666, ""king"": 1.0, ""knight"": 1.0, ""pawn"": 0.3333333333333333, ""queen"": 0.6666666666666666, ""rook"": 0.6666666666666666}",0.7222222222222222,"{'update_count': 72.0, 'rms_log_ratio': 0.07073024702727462, 'median_abs_log_ratio': 0.0032164352977790004, 'p95_abs_log_ratio': 0.09628982418283075, 'fraction_changed_gt_5pct': 0.10225739724795395, 'fraction_changed_gt_10pct': 0.04820577390053062, 'fraction_lower_bound': 0.0, 'fraction_upper_bound': 0.0}"
endgames,16,0.1875,0.625,0.1875,6302.0,12.0,64.92307692307692,435.5,25296.0,0.125,0.0625,0,2.8125,,{},0.1875,"{'update_count': 151.0, 'rms_log_ratio': 0.09641230216251936, 'median_abs_log_ratio': 0.011982446714114808, 'p95_abs_log_ratio': 0.15327908122187567, 'fraction_changed_gt_5pct': 0.19138411727673352, 'fraction_changed_gt_10pct': 0.08939652846479, 'fraction_lower_bound': 0.001978595197409839, 'fraction_upper_bound': 0.005935785592229517}"
tactics,25,0.24,0.68,0.24,281.12,210.0,195.15,798.8000000000001,1033.5999999999992,0.16,0.08,0,2.64,,{},0.24,"{'update_count': 279.0, 'rms_log_ratio': 0.11920851278785799, 'median_abs_log_ratio': 0.026498318409072564, 'p95_abs_log_ratio': 0.21014764937634858, 'fraction_changed_gt_5pct': 0.3369008004316935, 'fraction_changed_gt_10pct': 0.16925982552387805, 'fraction_lower_bound': 0.0021584674880834607, 'fraction_upper_bound': 0.007104955481608059}"
mates,19,0.3157894736842105,0.8421052631578947,0.3157894736842105,31562.526315789473,132.0,24957.5625,99733.8,99915.9,0.3684210526315789,0.3157894736842105,0,2.789473684210526,,{},0.3157894736842105,"{'update_count': 404.0, 'rms_log_ratio': 0.13731536730839997, 'median_abs_log_ratio': 0.03553531804241249, 'p95_abs_log_ratio': 0.2962793107371618, 'fraction_changed_gt_5pct': 0.40938933357316304, 'fraction_changed_gt_10pct': 0.22798812842881555, 'fraction_lower_bound': 0.0009892975987049195, 'fraction_upper_bound': 0.0042269988308301105}"
