checkpoint,stage,graph_neurons,graph_edges,structure_hash_initial,structure_hash_current,topology_preserved,sign_preserved,update_count,rms_log_ratio,median_abs_log_ratio,p95_abs_log_ratio,fraction_changed_gt_5pct,fraction_changed_gt_10pct,fraction_lower_bound,fraction_upper_bound
after_movement,movement,164620,10227924,6700c7ed5c8e08ce517272cfde166c8dd1fdb866860f623e4e5c72f88b22f207,6700c7ed5c8e08ce517272cfde166c8dd1fdb866860f623e4e5c72f88b22f207,1,1,13.0,0.026359930106686927,0.0014293610883214637,0.060353900562654966,0.0712401055408971,0.018469656992084433,0.0,0.0
after_endgames,endgames,164620,10227924,6700c7ed5c8e08ce517272cfde166c8dd1fdb866860f623e4e5c72f88b22f207,6700c7ed5c8e08ce517272cfde166c8dd1fdb866860f623e4e5c72f88b22f207,1,1,29.0,0.040712235689138794,0.0033065432177208703,0.07604567705869039,0.10290237467018469,0.0395778364116095,0.0,0.0
after_tactics,tactics,164620,10227924,6700c7ed5c8e08ce517272cfde166c8dd1fdb866860f623e4e5c72f88b22f207,6700c7ed5c8e08ce517272cfde166c8dd1fdb866860f623e4e5c72f88b22f207,1,1,48.0,0.048246027890424384,0.006986352519951059,0.09810714394029194,0.1345646437994723,0.052770448548812667,0.0,0.0
after_mates,mates,164620,10227924,6700c7ed5c8e08ce517272cfde166c8dd1fdb866860f623e4e5c72f88b22f207,6700c7ed5c8e08ce517272cfde166c8dd1fdb866860f623e4e5c72f88b22f207,1,1,69.0,0.05664117240881307,0.009753150378568578,0.11351162746888883,0.19788918205804748,0.0712401055408971,0.0,0.0
