step,stage,position_id,selected_move,cp_best,cp_move,regret_cp,raw_signal,running_signal_mean,centered_advantage,applied_advantage,mate_flag,mate_distance,selected_is_teacher_best,control,pass_kind,eligibility_mean_abs,rms_log_ratio,elapsed_s
27,movement,movement_0027,h3a1,100.0,-100.0,200.0,0.07576568547998053,0.20960444804969866,-0.14088290796812436,-0.14088290796812436,1,,0,reward_aversive,curriculum,1.5004958880998736e-05,0.04049020884526938,876.8111911000451
28,movement,movement_0028,c3a1,100.0,100.0,0.0,1.0,0.2491242256472137,0.7903955519503013,0.7903955519503013,1,,1,reward_aversive,curriculum,1.1141993806894308e-05,0.045960230628236905,878.6606621999526
29,movement,movement_0029,c1a1,100.0,-100.0,200.0,0.07576568547998053,0.24045629863885204,-0.17335854016723318,-0.17335854016723318,1,,0,reward_aversive,curriculum,1.9826441315221732e-05,0.04432992142387357,880.559052299941
30,movement,movement_0030,f4a1,100.0,-100.0,200.0,0.07576568547998053,0.23222176798090846,-0.1646906131588715,-0.1646906131588715,1,,0,reward_aversive,curriculum,9.607359524164732e-06,0.04348041423785937,881.8246991999913
31,movement,movement_0031,h7a1,100.0,-100.0,200.0,0.07576568547998053,0.22439896385586205,-0.15645608250092793,-0.15645608250092793,1,,0,reward_aversive,curriculum,9.445469708152185e-06,0.042534391424997056,883.4454390000319
32,movement,movement_0032,f6a1,100.0,100.0,0.0,1.0,0.26317901566306895,0.7756010361441379,0.7756010361441379,1,,1,reward_aversive,curriculum,9.68608110038939e-06,0.04612159013260679,885.1585289000068
33,movement,movement_0033,b4a1,100.0,-100.0,200.0,0.07576568547998053,0.25380834915391454,-0.18741333018308842,-0.18741333018308842,1,,0,reward_aversive,curriculum,7.780653485220821e-06,0.04460747613832066,887.0433256999822
34,movement,movement_0034,g3a1,100.0,-100.0,200.0,0.07576568547998053,0.2449062159702178,-0.178042663673934,-0.178042663673934,1,,0,reward_aversive,curriculum,8.53189871956667e-06,0.04347276695493745,889.249831299996
35,movement,movement_0035,c7a1,100.0,-100.0,200.0,0.07576568547998053,0.23644918944570592,-0.16914053049023728,-0.16914053049023728,1,,0,reward_aversive,curriculum,1.1369525592141735e-05,0.04260412666081868,891.1892431000015
36,movement,movement_0036,f2a1,100.0,-100.0,200.0,0.07576568547998053,0.22841501424741964,-0.1606835039657254,-0.1606835039657254,1,,0,reward_aversive,curriculum,9.589104628653976e-06,0.04089378292963279,892.4508542999392
37,movement,movement_0037,d5a1,100.0,-100.0,200.0,0.07576568547998053,0.22078254780904766,-0.1526493287674391,-0.1526493287674391,1,,0,reward_aversive,curriculum,1.3038584344267441e-05,0.039281185368997815,894.1551963000093
38,movement,movement_0038,d8a1,100.0,-100.0,200.0,0.07576568547998053,0.21353170469259428,-0.14501686232906713,-0.14501686232906713,1,,0,reward_aversive,curriculum,1.3360089397597073e-05,0.03791825733542076,895.8846380000468
39,movement,movement_0039,f3a1,100.0,-100.0,200.0,0.07576568547998053,0.20664340373196358,-0.13776601921261375,-0.13776601921261375,1,,0,reward_aversive,curriculum,1.012326114901746e-05,0.036694674440154694,897.9633874000283
40,movement,movement_0040,b3a1,100.0,-100.0,200.0,0.07576568547998053,0.20009951781936441,-0.13087771825198305,-0.13087771825198305,1,,0,reward_aversive,curriculum,1.18683529738793e-05,0.03547373108996733,899.7425948999589
41,movement,movement_0041,g1f2,100.0,100.0,0.0,1.0,0.2400945419283962,0.7999004821806356,0.7999004821806356,1,,1,reward_aversive,curriculum,1.1304296336605017e-05,0.04177095044330707,901.9533570000203
42,movement,movement_0042,a5a1,100.0,-100.0,200.0,0.07576568547998053,0.2318780991059754,-0.16432885644841566,-0.16432885644841566,1,,0,reward_aversive,curriculum,9.763836366037212e-06,0.041004976252188755,903.3594174999744
43,movement,movement_0043,b3a1,100.0,100.0,0.0,1.0,0.2702841941506766,0.7681219008940245,0.7681219008940245,1,,1,reward_aversive,curriculum,1.0702371943992707e-05,0.04411709759552365,905.80822180002
44,movement,movement_0044,e2a1,100.0,-100.0,200.0,0.07576568547998053,0.26055826871714177,-0.1945185086706961,-0.1945185086706961,1,,0,reward_aversive,curriculum,1.1162422167273339e-05,0.0430908956358967,907.9150501999538
45,movement,movement_0045,d4a1,100.0,-100.0,200.0,0.07576568547998053,0.2513186395552837,-0.18479258323716125,-0.18479258323716125,1,,0,reward_aversive,curriculum,6.730448274398442e-06,0.04189108431021241,910.1540907999733
46,movement,movement_0046,e2a1,100.0,-100.0,200.0,0.07576568547998053,0.24254099185151853,-0.1755529540753032,-0.1755529540753032,1,,0,reward_aversive,curriculum,1.229862661137562e-05,0.04122860763457954,912.5183493000222
47,movement,movement_0047,f3f2,100.0,100.0,0.0,1.0,0.2804139422589426,0.7574590081484814,0.7574590081484814,1,,1,reward_aversive,curriculum,1.1141311572096406e-05,0.044174001983252026,914.4458379000425
48,movement,movement_0048,a2a1,100.0,-100.0,200.0,0.07576568547998053,0.2701815294199945,-0.2046482567789621,-0.2046482567789621,1,,0,reward_aversive,curriculum,1.341258025339156e-05,0.04234785490273143,915.8685293999733
49,movement,movement_0049,d5a1,100.0,-100.0,200.0,0.07576568547998053,0.2604607372229938,-0.194415843940014,-0.194415843940014,1,,0,reward_aversive,curriculum,1.2877194553320222e-05,0.0405079441408489,917.5872400000226
50,movement,movement_0050,h5a1,100.0,-100.0,200.0,0.07576568547998053,0.2512259846358431,-0.18469505174301326,-0.18469505174301326,1,,0,reward_aversive,curriculum,1.0522540793296875e-05,0.038637150412796126,919.5973837999627
51,movement,movement_0051,d8a1,100.0,-100.0,200.0,0.07576568547998053,0.24245296967804997,-0.1754602991558626,-0.1754602991558626,1,,0,reward_aversive,curriculum,1.3940610174427718e-05,0.036860883583674973,922.1605064000469
52,movement,movement_0052,f2a1,100.0,-100.0,200.0,0.07576568547998053,0.23411860546814647,-0.16668728419806944,-0.16668728419806944,1,,0,reward_aversive,curriculum,1.117740921029808e-05,0.03569055310556938,924.2606305000372
53,movement,movement_0053,a1d1,100.0,-100.0,200.0,0.07576568547998053,0.22620095946873817,-0.15835291998816595,-0.15835291998816595,1,,0,reward_aversive,curriculum,1.0403246954077695e-05,0.03469237954643679,925.990277600009
54,movement,movement_0054,a2a1,100.0,-100.0,200.0,0.07576568547998053,0.21867919576930026,-0.15043527398875764,-0.15043527398875764,1,,0,reward_aversive,curriculum,7.2063606009068965e-06,0.03410776712964842,927.9688375999685
55,movement,movement_0055,d7a1,100.0,-100.0,200.0,0.07576568547998053,0.21153352025483427,-0.14291351028931973,-0.14291351028931973,1,,0,reward_aversive,curriculum,1.3286598220810644e-05,0.0337138345046976,930.1976506999927
56,movement,movement_0056,a5a1,100.0,-100.0,200.0,0.07576568547998053,0.20474512851609156,-0.13576783477485374,-0.13576783477485374,1,,0,reward_aversive,curriculum,9.807693100725967e-06,0.03335524218150191,932.2573670999845
57,movement,movement_0057,g3a1,100.0,-100.0,200.0,0.07576568547998053,0.198296156364286,-0.12897944303611103,-0.12897944303611103,1,,0,reward_aversive,curriculum,8.071833171289042e-06,0.03294006746167728,934.3748988000443
58,movement,movement_0058,f5a1,100.0,-100.0,200.0,0.07576568547998053,0.1921696328200707,-0.12253047088430546,-0.12253047088430546,1,,0,reward_aversive,curriculum,1.0418243134582457e-05,0.03282913243950751,936.222353399964
59,movement,movement_0059,h2a1,100.0,-100.0,200.0,0.07576568547998053,0.18634943545306618,-0.11640394734009019,-0.11640394734009019,1,,0,reward_aversive,curriculum,1.0193474971631242e-05,0.03258088279263734,938.0248468000209
60,movement,movement_0060,e3a1,100.0,-100.0,200.0,0.07576568547998053,0.18082024795441187,-0.11058374997308565,-0.11058374997308565,1,,0,reward_aversive,curriculum,1.589165899320575e-05,0.03191412684981008,939.1347547000041
61,movement,movement_0061,e5a1,100.0,-100.0,200.0,0.07576568547998053,0.1755675198306903,-0.10505456247443135,-0.10505456247443135,1,,0,reward_aversive,curriculum,1.200552997217546e-05,0.031304845259025334,940.8933466000017
62,movement,movement_0062,c7a1,100.0,-100.0,200.0,0.07576568547998053,0.1705774281131548,-0.09980183435070977,-0.09980183435070977,1,,0,reward_aversive,curriculum,1.284287700600141e-05,0.030891977839690766,942.9632541999454
63,movement,movement_0063,b4a1,100.0,-100.0,200.0,0.07576568547998053,0.16583684098149606,-0.09481174263317427,-0.09481174263317427,1,,0,reward_aversive,curriculum,1.2801999854715325e-05,0.030440173075526405,944.8083093999885
64,movement,movement_0064,a6a1,100.0,100.0,0.0,1.0,0.20754499893242123,0.8341631590185039,0.8341631590185039,1,,1,reward_aversive,curriculum,1.0327998330742083e-05,0.03531762233057549,946.686947499984
