position_id,source_game_id,phase,node_budget,best_move,best_cp,candidate_count,agreement_with_max_nodes,cp_delta_from_max_nodes
dev_source_042_offset_12,dev_source_042,middle,10000,e2c3,116.0,30,0,-3.0
dev_source_042_offset_12,dev_source_042,middle,50000,d2d4,119.0,30,1,0.0
dev_source_044_offset_12,dev_source_044,middle,1000,c4e5,158.0,30,1,76.0
dev_source_044_offset_12,dev_source_044,middle,10000,c4e5,92.0,30,1,10.0
dev_source_044_offset_12,dev_source_044,middle,50000,c4e5,82.0,30,1,0.0
dev_source_046_offset_12,dev_source_046,middle,1000,e4d6,637.0,27,0,-281.0
dev_source_046_offset_12,dev_source_046,middle,10000,d2c3,835.0,27,1,-83.0
dev_source_046_offset_12,dev_source_046,middle,50000,d2c3,918.0,27,1,0.0
dev_source_048_offset_12,dev_source_048,middle,1000,h4f3,-20.0,24,1,-88.0
dev_source_048_offset_12,dev_source_048,middle,10000,h4f3,68.0,24,1,0.0
dev_source_048_offset_12,dev_source_048,middle,50000,h4f3,68.0,24,1,0.0
dev_source_050_offset_12,dev_source_050,middle,1000,a2a3,-318.0,27,0,-111.0
dev_source_050_offset_12,dev_source_050,middle,10000,a2a1,-280.0,27,1,-73.0
dev_source_050_offset_12,dev_source_050,middle,50000,a2a1,-207.0,27,1,0.0
dev_source_052_offset_12,dev_source_052,middle,1000,b1a3,460.0,29,1,-20.0
dev_source_052_offset_12,dev_source_052,middle,10000,b2a3,386.0,29,0,-94.0
dev_source_052_offset_12,dev_source_052,middle,50000,b1a3,480.0,29,1,0.0
dev_source_054_offset_12,dev_source_054,middle,1000,h3g5,530.0,35,0,-459.0
dev_source_054_offset_12,dev_source_054,middle,10000,a6c8,356.0,35,0,-633.0
dev_source_054_offset_12,dev_source_054,middle,50000,d1h5,989.0,35,1,0.0
dev_source_056_offset_12,dev_source_056,middle,1000,b4a5,592.0,35,1,-302.0
dev_source_056_offset_12,dev_source_056,middle,10000,b4a5,918.0,35,1,24.0
dev_source_056_offset_12,dev_source_056,middle,50000,b4a5,894.0,35,1,0.0
dev_source_058_offset_12,dev_source_058,middle,1000,c2g6,99999.0,27,1,0.0
dev_source_058_offset_12,dev_source_058,middle,10000,c2g6,99999.0,27,1,0.0
dev_source_058_offset_12,dev_source_058,middle,50000,c2g6,99999.0,27,1,0.0
dev_source_060_offset_12,dev_source_060,middle,1000,b1c3,-167.0,26,0,-15.0
dev_source_060_offset_12,dev_source_060,middle,10000,g4g5,-167.0,26,1,-15.0
dev_source_060_offset_12,dev_source_060,middle,50000,g4g5,-152.0,26,1,0.0
dev_source_062_offset_12,dev_source_062,middle,1000,d1h5,99998.0,39,1,0.0
dev_source_062_offset_12,dev_source_062,middle,10000,d1h5,99998.0,39,1,0.0
dev_source_062_offset_12,dev_source_062,middle,50000,d1h5,99998.0,39,1,0.0
