position_id,source_game_id,phase,ply,fen,side_to_move,variant,depth,legal_move_count,teacher_best_move,predicted_move,selected_teacher_cp,teacher_best_cp,regret_cp,teacher_best_agreement,top3_teacher_agreement,selected_teacher_rank,fly_rank_of_teacher_best,score_margin,score_dispersion,spearman_rank_correlation,kendall_rank_correlation,recurrent_passes,latency_s,trajectory_latency_s,stockfish_eval_loss_cp,post_eval_included
opening_000_offset_08,opening_000,early,16,rn1qkbnr/1bp2ppp/1p1p4/p3p3/P7/3PPB2/1PP1QPPP/RNB2KNR w kq - 0 9,white,transmitter_sign_shuffle,4,27,f3b7,f3b7,494.0,494.0,0.0,1,1,1,1,0.00020630192011594772,0.0023081259165314725,-0.23752099192926357,-0.16547805710421967,108,6.372542400029488,113.11195729998872,26.0,1
opening_000_offset_08,opening_000,early,16,rn1qkbnr/1bp2ppp/1p1p4/p3p3/P7/3PPB2/1PP1QPPP/RNB2KNR w kq - 0 9,white,transmitter_sign_shuffle,8,27,f3b7,f3b7,494.0,494.0,0.0,1,1,1,1,0.0002307826653122902,0.0023041505736519138,-0.22836208478546163,-0.16547805710421967,216,11.514210499939509,113.11195729998872,0.0,1
opening_000_offset_08,opening_000,early,16,rn1qkbnr/1bp2ppp/1p1p4/p3p3/P7/3PPB2/1PP1QPPP/RNB2KNR w kq - 0 9,white,transmitter_sign_shuffle,16,27,f3b7,f3b7,494.0,494.0,0.0,1,1,1,1,0.00023197755217552185,0.0023034199322958617,-0.2289726785950484,-0.16547805710421967,432,26.763966399943456,113.11195729998872,5.0,1
opening_000_offset_08,opening_000,early,16,rn1qkbnr/1bp2ppp/1p1p4/p3p3/P7/3PPB2/1PP1QPPP/RNB2KNR w kq - 0 9,white,transmitter_sign_shuffle,32,27,f3b7,f3b7,494.0,494.0,0.0,1,1,1,1,0.00023199431598186493,0.002303420995192283,-0.2289726785950484,-0.16547805710421967,864,55.30602569994517,113.11195729998872,0.0,1
opening_000_offset_08,opening_000,early,16,rn1qkbnr/1bp2ppp/1p1p4/p3p3/P7/3PPB2/1PP1QPPP/RNB2KNR w kq - 0 9,white,transmitter_sign_shuffle,64,27,f3b7,f3b7,494.0,494.0,0.0,1,1,1,1,0.0002319980412721634,0.0023032921537225813,-0.2289726785950484,-0.16547805710421967,1728,112.8704683999531,113.11195729998872,0.0,1
opening_000_offset_12,opening_000,middle,20,r2qkbnr/1b3ppp/nppp4/p3p3/P7/3PPB2/1PP1NPPP/RNBQ1K1R w kq - 0 11,white,transmitter_sign_shuffle,1,31,f1e1,h2h4,-44.0,-23.0,21.0,0,0,4,12,0.0,0.0,,,31,1.9203331000171602,116.79751060006674,47.0,1
opening_000_offset_12,opening_000,middle,20,r2qkbnr/1b3ppp/nppp4/p3p3/P7/3PPB2/1PP1NPPP/RNBQ1K1R w kq - 0 11,white,transmitter_sign_shuffle,2,31,f1e1,f3c6,-826.0,-23.0,803.0,0,0,30,15,0.0002189427614212036,0.0015669069022962018,-0.4689599248012995,-0.32495076005695595,62,4.199712000088766,116.79751060006674,725.0,1
opening_000_offset_12,opening_000,middle,20,r2qkbnr/1b3ppp/nppp4/p3p3/P7/3PPB2/1PP1NPPP/RNBQ1K1R w kq - 0 11,white,transmitter_sign_shuffle,4,31,f1e1,f3c6,-826.0,-23.0,803.0,0,0,30,12,0.00017606280744075775,0.002039863666799476,-0.43601897729663264,-0.30636622137924585,124,8.653554000076838,116.79751060006674,667.0,1
opening_000_offset_12,opening_000,middle,20,r2qkbnr/1b3ppp/nppp4/p3p3/P7/3PPB2/1PP1NPPP/RNBQ1K1R w kq - 0 11,white,transmitter_sign_shuffle,8,31,f1e1,f3c6,-826.0,-23.0,803.0,0,0,30,12,0.0002046218141913414,0.002036917040303967,-0.42936373851273396,-0.2977361869741967,248,15.957384400069714,116.79751060006674,721.0,1
opening_000_offset_12,opening_000,middle,20,r2qkbnr/1b3ppp/nppp4/p3p3/P7/3PPB2/1PP1NPPP/RNBQ1K1R w kq - 0 11,white,transmitter_sign_shuffle,16,31,f1e1,f3c6,-826.0,-23.0,803.0,0,0,30,12,0.00020601507276296616,0.0020364677875972467,-0.4307754558305307,-0.2977361869741967,496,27.899861700017937,116.79751060006674,721.0,1
opening_000_offset_12,opening_000,middle,20,r2qkbnr/1b3ppp/nppp4/p3p3/P7/3PPB2/1PP1NPPP/RNBQ1K1R w kq - 0 11,white,transmitter_sign_shuffle,32,31,f1e1,f3c6,-826.0,-23.0,803.0,0,0,30,12,0.0002060234546661377,0.0020365435704340854,-0.42976708631781874,-0.2934211697716721,992,58.494241500040516,116.79751060006674,721.0,1
opening_000_offset_12,opening_000,middle,20,r2qkbnr/1b3ppp/nppp4/p3p3/P7/3PPB2/1PP1NPPP/RNBQ1K1R w kq - 0 11,white,transmitter_sign_shuffle,64,31,f1e1,f3c6,-826.0,-23.0,803.0,0,0,30,12,0.00020602066069841385,0.002036707935895654,-0.42976708631781874,-0.2934211697716721,1984,116.57559240004048,116.79751060006674,721.0,1
opening_000_offset_16,opening_000,middle,24,r2qkb1r/1b3ppp/n1pp1n2/pp2p3/P7/2PPPB2/RP2NPPP/1NBQ1K1R w kq - 0 13,white,transmitter_sign_shuffle,1,31,a4b5,h2h4,-86.0,92.0,178.0,0,0,3,29,0.0,0.0,,,31,1.3683056000154465,124.83964540006127,270.0,1
opening_000_offset_16,opening_000,middle,24,r2qkb1r/1b3ppp/n1pp1n2/pp2p3/P7/2PPPB2/RP2NPPP/1NBQ1K1R w kq - 0 13,white,transmitter_sign_shuffle,2,31,a4b5,f3c6,-768.0,92.0,860.0,0,0,28,9,0.00021894555538892746,0.0015801550530573454,-0.41677708817215864,-0.28854544194216203,62,3.578793599968776,124.83964540006127,886.0,1
opening_000_offset_16,opening_000,middle,24,r2qkb1r/1b3ppp/n1pp1n2/pp2p3/P7/2PPPB2/RP2NPPP/1NBQ1K1R w kq - 0 13,white,transmitter_sign_shuffle,4,31,a4b5,f3c6,-768.0,92.0,860.0,0,0,28,15,0.00017607025802135468,0.0020606563166476214,-0.32728373321213255,-0.20474185480011833,124,7.93238710006699,124.83964540006127,880.0,1
opening_000_offset_16,opening_000,middle,24,r2qkb1r/1b3ppp/n1pp1n2/pp2p3/P7/2PPPB2/RP2NPPP/1NBQ1K1R w kq - 0 13,white,transmitter_sign_shuffle,8,31,a4b5,f3c6,-768.0,92.0,860.0,0,0,28,17,0.0002046339213848114,0.002062436599929127,-0.33333334011069327,-0.21767291931381003,248,15.502643799991347,124.83964540006127,880.0,1
opening_000_offset_16,opening_000,middle,24,r2qkb1r/1b3ppp/n1pp1n2/pp2p3/P7/2PPPB2/RP2NPPP/1NBQ1K1R w kq - 0 13,white,transmitter_sign_shuffle,16,31,a4b5,f3c6,-768.0,92.0,860.0,0,0,28,17,0.00020603742450475693,0.002062406887175723,-0.33091349735126896,-0.20905220963801555,496,27.836936800042167,124.83964540006127,844.0,1
opening_000_offset_16,opening_000,middle,24,r2qkb1r/1b3ppp/n1pp1n2/pp2p3/P7/2PPPB2/RP2NPPP/1NBQ1K1R w kq - 0 13,white,transmitter_sign_shuffle,32,31,a4b5,f3c6,-768.0,92.0,860.0,0,0,28,17,0.00020604580640792847,0.0020625541532243016,-0.33091349735126896,-0.20905220963801555,992,60.26323060004506,124.83964540006127,844.0,1
opening_000_offset_16,opening_000,middle,24,r2qkb1r/1b3ppp/n1pp1n2/pp2p3/P7/2PPPB2/RP2NPPP/1NBQ1K1R w kq - 0 13,white,transmitter_sign_shuffle,64,31,a4b5,f3c6,-768.0,92.0,860.0,0,0,28,17,0.00020602997392416,0.0020629672223180847,-0.3228473548198547,-0.20474185480011833,1984,124.63493739999831,124.83964540006127,844.0,1
opening_000_offset_20,opening_000,late,28,2rqkb1r/1b3pp1/n1pp1n2/pp2p2p/P7/2PPPB2/1P2NPPP/RNBQ2KR w k - 2 15,white,transmitter_sign_shuffle,1,29,a4b5,h2h4,-32.0,96.0,128.0,0,0,2,27,0.0,0.0,,,29,1.5242612999863923,103.41249739995692,202.0,1
opening_000_offset_20,opening_000,late,28,2rqkb1r/1b3pp1/n1pp1n2/pp2p2p/P7/2PPPB2/1P2NPPP/RNBQ2KR w k - 2 15,white,transmitter_sign_shuffle,2,29,a4b5,f3h5,-689.0,96.0,785.0,0,0,27,10,0.0,0.0016403879838517545,-0.3538405467951585,-0.2576423060221789,58,2.9570421000244096,103.41249739995692,931.0,1
opening_000_offset_20,opening_000,late,28,2rqkb1r/1b3pp1/n1pp1n2/pp2p2p/P7/2PPPB2/1P2NPPP/RNBQ2KR w k - 2 15,white,transmitter_sign_shuffle,4,29,a4b5,f3h5,-689.0,96.0,785.0,0,0,27,13,1.1145137250423431e-05,0.0021429731297946146,-0.33008991505459256,-0.2145501014489297,116,5.433233699994162,103.41249739995692,869.0,1
opening_000_offset_20,opening_000,late,28,2rqkb1r/1b3pp1/n1pp1n2/pp2p2p/P7/2PPPB2/1P2NPPP/RNBQ2KR w k - 2 15,white,transmitter_sign_shuffle,8,29,a4b5,f3h5,-689.0,96.0,785.0,0,0,27,15,4.801899194717407e-06,0.002146473477584817,-0.31186106899933896,-0.18988917024790328,232,13.050566200050525,103.41249739995692,883.0,1
