variant,depth,rating,rating_ci_low,rating_ci_high,games,wins,draws,losses,median_fly_move_latency_s
original,1,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,0.2050300499831792
original,2,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,0.37979099998483434
original,4,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,1.087945800012676
original,8,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,1.4636421000177506
original,16,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,3.2026626500010025
original,32,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,6.357922049995977
original,64,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,13.221231199975591
degree_preserving_topology_shuffle,1,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,0.25766199998906814
degree_preserving_topology_shuffle,2,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,0.5968406999891158
degree_preserving_topology_shuffle,4,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,1.5236329000326805
degree_preserving_topology_shuffle,8,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,1.4050539000018034
degree_preserving_topology_shuffle,16,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,3.3444435500132386
degree_preserving_topology_shuffle,32,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,8.625360100006219
degree_preserving_topology_shuffle,64,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,15.455408499983605
transmitter_sign_shuffle,1,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,0.1522521499719005
transmitter_sign_shuffle,2,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,0.29346409998834133
transmitter_sign_shuffle,4,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,0.6777650999720208
transmitter_sign_shuffle,8,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,1.6186501499905717
transmitter_sign_shuffle,16,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,3.829914750007447
transmitter_sign_shuffle,32,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,5.672866599983536
transmitter_sign_shuffle,64,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,9.366688950016396
recurrent_edges_attenuated,1,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,0.18417490003048442
recurrent_edges_attenuated,2,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,0.44466164999175817
recurrent_edges_attenuated,4,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,0.7735276500170585
recurrent_edges_attenuated,8,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,1.0609643000061624
recurrent_edges_attenuated,16,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,2.162878000031924
recurrent_edges_attenuated,32,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,4.197394249989884
recurrent_edges_attenuated,64,445.06389937333824,78.58035498354116,811.5474437631353,4,0,4,0,8.509478699997999
